id,labels,sentences,[price],[price]+VERB,[price]+VERB|ADV,[price]+ADV,[price]+ADV|VERB,[price]+*+VERB,[price]+*+ADV,[price]|[deal],[price]|[item],[price]|[item]+*+VERB,[price]|$PERCENT,[price]|$PERCENT+ADV,[price]|$PERCENT+*+ADV,[deal],[deal]|[price],[deal]|[item],[deal]|[bit],[deal]|$DATE,[deal]|$MONEY,[deal]|$PERCENT,[item]+PRON,[item],[item]+*+PRON+VERB,[item]+*+PRON+VERB+ADV,[item]+*+PRON+VERB+ADV+AUX,[item]+*+PRON,[item]+*+VERB,[item]+*+VERB+ADV,[item]+*+VERB+ADV+AUX,[item]|[price],[item]|[price]+*+VERB,[item]|[deal],[item]|$DATE,[item]|$MONEY,[item]|$PERCENT,[bit],[bit]+ADJ+PRON,[bit]+ADJ+PRON+AUX,[bit]+ADJ+PRON+AUX+*+NOUN,[bit]+ADJ+PRON+*+AUX,[bit]+ADJ,[bit]+ADJ+*+PRON,[bit]+ADJ+*+PRON+AUX,[bit]+ADJ+*+AUX,[bit]+ADV,[bit]+ADV+VERB,[bit]+ADV+*+VERB,[bit]+ADV+*+[price],[bit]+ADV+[price],[bit]+*+PRON,[bit]+*+PRON+AUX,[bit]+*+VERB,[bit]+*+ADJ+PRON,[bit]+*+ADJ+PRON+AUX,[bit]+*+ADJ,[bit]+*+ADV,[bit]+*+ADV+VERB,[bit]+*+ADV+[price],[bit]+*+[price],[bit]|[price],[bit]|[price]+ADV,[bit]|[price]+*+VERB,[bit]|[price]+*+ADV,[bit]|[deal],[bit]|[item],[bit]|[item]+*+PRON,[bit]|[item]+*+VERB,[bit]|$DATE,[bit]|$DATE+ADJ,[bit]|$DATE+*+ADJ,[bit]|$DATE+*+ADV,[bit]|$MONEY,[bit]|$MONEY+*+ADV,[bit]|$PERCENT,[bit]|$PERCENT+ADV,[bit]|$PERCENT+*+ADV,$DATE,$DATE+NOUN,$DATE+NOUN+*+ADV+PRON,$DATE+NOUN+*+ADV+PRON+AUX,$DATE+NOUN+*+ADV,$DATE+ADJ,$DATE+ADJ+NOUN,$DATE+ADJ+NOUN+*+ADV+PRON,$DATE+ADJ+NOUN+*+ADV+PRON+AUX,$DATE+ADJ+NOUN+*+ADV,$DATE+ADJ+*+NOUN,$DATE+*+NOUN,$DATE+*+ADJ,$DATE+*+ADJ+NOUN,$DATE+*+ADV+PRON,$DATE+*+ADV+PRON+AUX,$DATE+*+ADV,$DATE|[price],$DATE|[price]+*+ADV,$DATE|[deal],$DATE|[item],$DATE|[bit],$DATE|[bit]+ADJ,$DATE|[bit]+*+ADJ,$DATE|[bit]+*+ADV,$DATE|$PERCENT,$DATE|$PERCENT+NOUN,$DATE|$PERCENT+NOUN+*+ADV,$DATE|$PERCENT+*+NOUN,$DATE|$PERCENT+*+ADV,$DATE|$PERCENT+*+ADV|NOUN,$MONEY,$MONEY+*+ADV+PRON,$MONEY+*+ADV+PRON+NOUN,$MONEY+*+ADV,$MONEY|[price],$MONEY|[price]+*+ADV,$MONEY|[deal],$MONEY|[item],$MONEY|[bit],$MONEY|[bit]+*+ADV,$MONEY|$PERCENT,$MONEY|$PERCENT+*+ADV,$PERCENT,$PERCENT+NOUN,$PERCENT+NOUN+ADV,$PERCENT+NOUN+*+ADV,$PERCENT+ADV,$PERCENT+ADV|NOUN,$PERCENT+*+NOUN,$PERCENT+*+NOUN+ADV,$PERCENT+*+ADV,$PERCENT+*+ADV|NOUN,$PERCENT|[price],$PERCENT|[price]+ADV,$PERCENT|[price]+*+ADV,$PERCENT|[deal],$PERCENT|[item],$PERCENT|[bit],$PERCENT|[bit]+ADV,$PERCENT|[bit]+*+ADV,$PERCENT|$DATE,$PERCENT|$DATE+NOUN,$PERCENT|$DATE+NOUN+*+ADV,$PERCENT|$DATE+*+NOUN,$PERCENT|$DATE+*+ADV,$PERCENT|$DATE+*+ADV|NOUN,$PERCENT|$MONEY,$PERCENT|$MONEY+*+ADV
s0,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s1,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
s2,1,They have some great offers going on now with even 70% off on some items.,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s18,1,"I love that for things you order regularly you can establish a standing order and get a 5 % discount ( milk , eggs , etc . ) .",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0
s19,1,"Prices vary so you have to shop around, but every once in a while you can find a really awesome deal.
",1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s30,1,Only issue I have with this place is that they've raised their prices twice in the last year and now it's $2.10 for almost every plate which I think is very high for what you get,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
s3,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s6,0,50$ for buffet and mind you i only ate crab legs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s32,0,"Hence the food is way too pricey for what's offered
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
