id,labels,sentences,PROPN,PROPN+VERB,PROPN+VERB|AUX,PROPN+ADJ,PROPN+ADJ|AUX,PROPN+AUX,PROPN+AUX|VERB,PROPN+AUX|ADJ,PROPN+*+VERB,PROPN+*+VERB+NOUN,PROPN+*+VERB+NOUN|NUM,PROPN+*+VERB+NUM,PROPN+*+VERB+NUM|NOUN,PROPN+*+VERB|ADJ,PROPN+*+VERB|ADJ+NOUN,PROPN+*+VERB|ADV,PROPN+*+VERB|AUX,PROPN+*+VERB|AUX+NUM,PROPN+*+VERB|$MONEY,PROPN+*+VERB|$MONEY+NUM,PROPN+*+NOUN,PROPN+*+NOUN|VERB,PROPN+*+NOUN|ADJ,PROPN+*+NOUN|ADV,PROPN+*+NOUN|AUX,PROPN+*+NOUN|$MONEY,PROPN+*+ADJ,PROPN+*+ADJ+NOUN,PROPN+*+ADJ|VERB,PROPN+*+ADJ|VERB+NOUN,PROPN+*+ADJ|ADV,PROPN+*+ADJ|AUX,PROPN+*+ADV,PROPN+*+ADV+ADJ,PROPN+*+ADV+ADJ|$MONEY,PROPN+*+ADV+$MONEY,PROPN+*+ADV+$MONEY|ADJ,PROPN+*+ADV|VERB,PROPN+*+ADV|NOUN,PROPN+*+ADV|ADJ,PROPN+*+ADV|AUX,PROPN+*+AUX,PROPN+*+AUX+ADV,PROPN+*+AUX+ADV|NUM,PROPN+*+AUX+NUM,PROPN+*+AUX+NUM|ADV,PROPN+*+AUX|VERB,PROPN+*+AUX|VERB+NUM,PROPN+*+AUX|ADJ,PROPN+*+AUX|ADV,PROPN+*+AUX|$MONEY,PROPN+*+AUX|$MONEY+NUM,PROPN+*+$MONEY,PROPN+*+$MONEY+NUM,PROPN+*+$MONEY|VERB,PROPN+*+$MONEY|VERB+NUM,PROPN+*+$MONEY|NOUN,PROPN+*+$MONEY|ADJ,PROPN+*+$MONEY|ADV,PROPN+*+$MONEY|AUX,PROPN+*+$MONEY|AUX+NUM,PROPN|[time],PROPN|[time]+*+NOUN,PROPN|[time]+*+NOUN|ADV,PROPN|[time]+*+ADV,PROPN|[time]+*+ADV|NOUN,PROPN|[shop],PROPN|[shop]+*+ADV,PROPN|[shop]+*+ADV|AUX,PROPN|[shop]+*+AUX,PROPN|[shop]+*+AUX|ADV,[minute],[minute]+ADV,[minute]+*+PRON+VERB,[minute]+*+PRON,[minute]+*+ADV+PRON+VERB,[minute]+*+ADV+PRON,[minute]+*+ADV,[minute]+*+ADV|PRON,[minute]|PROPN,[minute]|PROPN+*+ADV,[minute]|[time],[minute]|[time]+ADV,[minute]|[time]+*+ADV,[minute]|[shop],[minute]|[shop]+ADV,[minute]|[shop]+*+PRON,[minute]|[shop]+*+PRON|ADV,[minute]|[shop]+*+ADV,[minute]|[shop]+*+ADV|PRON,[minute]|$MONEY,[minute]|$ORG,[minute]|$ORG+*+ADV,[time],[time]+ADV,[time]+*+NOUN,[time]+*+NOUN+ADV,[time]+*+ADV,[time]|PROPN,[time]|PROPN+*+NOUN,[time]|PROPN+*+NOUN|ADV,[time]|PROPN+*+ADV,[time]|PROPN+*+ADV|NOUN,[time]|[minute],[time]|[minute]+ADV,[time]|[minute]+*+ADV,[time]|[shop],[time]|[shop]+ADV,[time]|[shop]+*+ADV,[time]|[downside],[time]|$MONEY,[time]|$ORDINAL,[time]|$ORG,[time]|$ORG+*+ADV,[shop]+PRON,[shop]+PRON|ADV,[shop],[shop]+ADV|PRON,[shop]+ADV,[shop]+*+PRON,[shop]+*+PRON+AUX,[shop]+*+PRON|ADV,[shop]+*+ADV,[shop]+*+ADV|PRON,[shop]+*+ADV|AUX,[shop]+*+AUX,[shop]+*+AUX|ADV,[shop]|PROPN,[shop]|PROPN+*+ADV,[shop]|PROPN+*+ADV|AUX,[shop]|PROPN+*+AUX,[shop]|PROPN+*+AUX|ADV,[shop]|[minute],[shop]|[minute]+ADV,[shop]|[minute]+*+PRON,[shop]|[minute]+*+PRON|ADV,[shop]|[minute]+*+ADV,[shop]|[minute]+*+ADV|PRON,[shop]|[time],[shop]|[time]+ADV,[shop]|[time]+*+ADV,[shop]|[downside],[shop]|$MONEY,[shop]|$ORDINAL,[shop]|$ORG,[shop]|$ORG+*+ADV,[shop]|$ORG+*+ADV|AUX,[shop]|$ORG+*+AUX,[shop]|$ORG+*+AUX|ADV,[downside],[downside]+*+NUM,[downside]+*+NUM+NOUN,[downside]+*+NUM+NOUN+VERB,[downside]+*+NUM+NOUN+VERB+ADV,[downside]|PROPN,[downside]|[minute],[downside]|[time],[downside]|[shop],[downside]|$MONEY,[downside]|$MONEY+*+NUM,[downside]|$ORG,$MONEY,$MONEY+NUM,$MONEY+*+NUM,$MONEY|PROPN,$MONEY|[minute],$MONEY|[time],$MONEY|[shop],$MONEY|[downside],$MONEY|[downside]+*+NUM,$MONEY|$ORDINAL,$MONEY|$ORG,$ORDINAL,$ORDINAL+*+PROPN,$ORDINAL+*+PROPN+VERB,$ORDINAL+*+PROPN+VERB+NOUN,$ORDINAL|PROPN,$ORDINAL|[minute],$ORDINAL|[time],$ORDINAL|[shop],$ORDINAL|$MONEY,$ORDINAL|$ORG,$ORDINAL|$ORG+*+PROPN,$ORG,$ORG+PROPN,$ORG+PROPN|AUX,$ORG+PROPN|AUX+*+ADV,$ORG+AUX,$ORG+AUX|PROPN,$ORG+AUX|PROPN+*+ADV,$ORG+*+PROPN,$ORG+*+PROPN|ADV,$ORG+*+PROPN|AUX,$ORG+*+ADV,$ORG+*+ADV+ADJ,$ORG+*+ADV|PROPN,$ORG+*+AUX,$ORG+*+AUX+ADV,$ORG+*+AUX+ADV+ADJ,$ORG+*+AUX|PROPN,$ORG|PROPN,$ORG|PROPN+AUX,$ORG|PROPN+*+ADV,$ORG|PROPN+*+ADV+ADJ,$ORG|PROPN+*+ADV|AUX,$ORG|PROPN+*+AUX,$ORG|PROPN+*+AUX+ADV,$ORG|PROPN+*+AUX|ADV,$ORG|[minute],$ORG|[minute]+*+ADV,$ORG|[time],$ORG|[time]+*+ADV,$ORG|[shop],$ORG|[shop]+*+ADV,$ORG|[shop]+*+ADV|AUX,$ORG|[shop]+*+AUX,$ORG|[shop]+*+AUX|ADV,$ORG|[downside],$ORG|$ORDINAL,$ORG|$ORDINAL+*+PROPN
s45,1,Only downside : three entrees served simultaneously but fourth ( beet/ goat cheese ravioli ) was 2 - 3 minutes later which allowed my accompaniments ( delicious creamy polenta ) to cool off to much .,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1
s101,1,"I tried to contact them through the app and website and still haven't heard back.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
s19,1,"Prices vary so you have to shop around, but every once in a while you can find a really awesome deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
s26,1,I purchased a Gibeon Meteorite and black zirconium wedding band from Rings Unique for approximately $1200.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1
s64,1,"Our host Reinhold is so nice and gracious.
",1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
s83,1,Slowest coffee shop I've been to in boston. Took 15 minutes for me to get a breakfast sandwich.,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
s2,0,They have some great offers going on now with even 70% off on some items.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s22,0,"I sat outdoors and enjoyed the nice string lighting and music that was playing
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
