id,labels,sentences,PROPN,PROPN+NOUN,PROPN+NOUN+*+NUM,PROPN+NOUN+*+$MONEY,PROPN+*+NOUN,PROPN+*+[deal],PROPN+*+$ORG,PROPN+*+$ORG+NOUN,PROPN+*+$ORG+[deal],PROPN+[deal],PROPN+[deal]+*+NUM,PROPN+[deal]+*+$MONEY,PROPN+$ORG,PROPN+$ORG+NOUN,PROPN+$ORG+NOUN+*+NUM,PROPN+$ORG+NOUN+*+$MONEY,PROPN+$ORG+*+NOUN,PROPN+$ORG+*+[deal],PROPN+$ORG+[deal],PROPN+$ORG+[deal]+*+NUM,PROPN+$ORG+[deal]+*+$MONEY,PROPN|ADJ,PROPN|ADJ+NOUN,PROPN|ADJ+*+NOUN,PROPN|NUM,PROPN|NUM+NOUN,PROPN|NUM+*+NOUN,PROPN|[deal],PROPN|[item],PROPN|[bit],PROPN|[particular],PROPN|[particular]+NOUN,PROPN|[particular]+*+NOUN,PROPN|$PERCENT,PROPN|$PERCENT+NOUN,PROPN|$PERCENT+*+NOUN,ADJ+PRON,ADJ+PRON|NOUN,ADJ,ADJ+NOUN|PRON,ADJ+NOUN,ADJ+*+PRON,ADJ+*+PRON+AUX,ADJ+*+PRON|VERB,ADJ+*+PRON|NOUN,ADJ+*+VERB,ADJ+*+VERB|PRON,ADJ+*+VERB|AUX,ADJ+*+NOUN,ADJ+*+NOUN+VERB,ADJ+*+NOUN|PRON,ADJ+*+NOUN|AUX,ADJ+*+AUX,ADJ+*+AUX|VERB,ADJ+*+AUX|NOUN,ADJ|PROPN,ADJ|PROPN+NOUN,ADJ|PROPN+*+NOUN,ADJ|NUM,ADJ|NUM+NOUN,ADJ|NUM+*+NOUN,ADJ|[deal],ADJ|$MONEY,ADJ|$ORG,ADJ|$ORG+NOUN,ADJ|$ORG+*+NOUN,NUM,NUM+NOUN,NUM+NOUN|ADV,NUM+ADV,NUM+ADV|NOUN,NUM+ADV|$PERCENT,NUM+*+NOUN,NUM+*+NOUN+ADV,NUM+*+NOUN|ADV,NUM+*+ADV,NUM+*+$PERCENT,NUM+*+$PERCENT+ADV,NUM+*+$PERCENT|ADV,NUM+$PERCENT,NUM+$PERCENT|ADV,NUM|ADJ,NUM|ADJ+NOUN,NUM|ADJ+*+NOUN,NUM|[deal],NUM|[item],NUM|[bit],NUM|[bit]+ADV,NUM|[bit]+*+ADV,NUM|[particular],NUM|[particular]+NOUN,NUM|[particular]+*+NOUN,[deal],[deal]+*+NUM,[deal]+*+$MONEY,[deal]|ADJ,[deal]|NUM,[deal]|[item],[deal]|[bit],[deal]|$PERCENT,[item]+PRON,[item],[item]+*+PRON+VERB,[item]+*+PRON+VERB+ADV,[item]+*+PRON+VERB+ADV+AUX,[item]+*+PRON,[item]+*+VERB,[item]+*+VERB+ADV,[item]+*+VERB+ADV+AUX,[item]|PROPN,[item]|ADJ+PRON,[item]|ADJ,[item]|ADJ+*+PRON,[item]|ADJ+*+PRON|VERB,[item]|ADJ+*+VERB,[item]|NUM,[item]|[deal],[item]|[particular],[item]|[particular]+*+VERB,[item]|$MONEY,[item]|$ORG,[bit],[bit]+ADJ+PRON,[bit]+ADJ+PRON+AUX,[bit]+ADJ+PRON+AUX+*+NOUN,[bit]+ADJ+PRON+*+AUX,[bit]+ADJ,[bit]+ADJ+*+PRON,[bit]+ADJ+*+PRON+AUX,[bit]+ADJ+*+AUX,[bit]+ADV,[bit]+ADV+VERB,[bit]+ADV+*+VERB,[bit]+*+PRON,[bit]+*+PRON+AUX,[bit]+*+VERB,[bit]+*+ADJ+PRON,[bit]+*+ADJ+PRON+AUX,[bit]+*+ADJ,[bit]+*+ADV,[bit]+*+ADV+VERB,[bit]|PROPN,[bit]|ADJ,[bit]|ADJ+*+PRON,[bit]|ADJ+*+PRON+AUX,[bit]|ADJ+*+PRON|VERB,[bit]|ADJ+*+VERB,[bit]|NUM,[bit]|NUM+ADV,[bit]|NUM+*+ADV,[bit]|[deal],[bit]|[item],[bit]|[item]+*+PRON,[bit]|[item]+*+VERB,[bit]|[particular],[bit]|[particular]+*+VERB,[bit]|$MONEY,[bit]|$MONEY+ADV,[bit]|$MONEY+*+ADV,[bit]|$ORG,[bit]|$PERCENT,[bit]|$PERCENT+ADV,[bit]|$PERCENT+*+ADV,[particular],[particular]+NOUN,[particular]+NOUN+VERB,[particular]+NOUN+VERB+*+ADJ,[particular]+NOUN+*+VERB,[particular]+*+VERB,[particular]+*+NOUN,[particular]+*+NOUN+VERB,[particular]|PROPN,[particular]|PROPN+NOUN,[particular]|PROPN+*+NOUN,[particular]|ADJ,[particular]|ADJ+NOUN,[particular]|ADJ+*+VERB,[particular]|ADJ+*+NOUN,[particular]|ADJ+*+NOUN+VERB,[particular]|NUM,[particular]|NUM+NOUN,[particular]|NUM+*+NOUN,[particular]|[deal],[particular]|[item],[particular]|[item]+*+VERB,[particular]|[bit],[particular]|[bit]+*+VERB,[particular]|$MONEY,[particular]|$ORG,[particular]|$ORG+NOUN,[particular]|$ORG+*+NOUN,[particular]|$PERCENT,[particular]|$PERCENT+NOUN,[particular]|$PERCENT+*+NOUN,$MONEY,$MONEY+ADV,$MONEY+*+ADV,$MONEY|ADJ,$MONEY|NUM,$MONEY|NUM+ADV,$MONEY|NUM+*+ADV,$MONEY|[deal],$MONEY|[item],$MONEY|[bit],$MONEY|[bit]+ADV,$MONEY|[bit]+*+ADV,$MONEY|[particular],$MONEY|$PERCENT,$MONEY|$PERCENT+ADV,$MONEY|$PERCENT+*+ADV,$ORG,$ORG+PROPN,$ORG+PROPN+NOUN,$ORG+PROPN+NOUN+*+NUM,$ORG+PROPN+NOUN+*+$MONEY,$ORG+PROPN+*+NOUN,$ORG+PROPN+*+[deal],$ORG+PROPN+[deal],$ORG+PROPN+[deal]+*+NUM,$ORG+PROPN+[deal]+*+$MONEY,$ORG+NOUN,$ORG+NOUN+*+NUM,$ORG+NOUN+*+$MONEY,$ORG+*+PROPN,$ORG+*+PROPN+NOUN,$ORG+*+PROPN+[deal],$ORG+*+NOUN,$ORG+*+[deal],$ORG+[deal],$ORG+[deal]+*+NUM,$ORG+[deal]+*+$MONEY,$ORG|ADJ,$ORG|ADJ+NOUN,$ORG|ADJ+*+NOUN,$ORG|NUM,$ORG|NUM+NOUN,$ORG|NUM+*+NOUN,$ORG|[deal],$ORG|[item],$ORG|[bit],$ORG|[particular],$ORG|[particular]+NOUN,$ORG|[particular]+*+NOUN,$ORG|$PERCENT,$ORG|$PERCENT+NOUN,$ORG|$PERCENT+*+NOUN,$PERCENT,$PERCENT+NOUN,$PERCENT+NOUN+ADV,$PERCENT+NOUN+*+ADV,$PERCENT+ADV,$PERCENT+*+NOUN,$PERCENT+*+NOUN+ADV,$PERCENT+*+ADV,$PERCENT|PROPN,$PERCENT|PROPN+NOUN,$PERCENT|PROPN+*+NOUN,$PERCENT|ADJ,$PERCENT|ADJ+NOUN,$PERCENT|ADJ+*+NOUN,$PERCENT|NUM,$PERCENT|NUM+NOUN,$PERCENT|NUM+NOUN|ADV,$PERCENT|NUM+ADV,$PERCENT|NUM+*+NOUN,$PERCENT|NUM+*+NOUN+ADV,$PERCENT|NUM+*+NOUN|ADV,$PERCENT|NUM+*+ADV,$PERCENT|[deal],$PERCENT|[item],$PERCENT|[bit],$PERCENT|[bit]+ADV,$PERCENT|[bit]+*+ADV,$PERCENT|[particular],$PERCENT|[particular]+NOUN,$PERCENT|[particular]+*+NOUN,$PERCENT|$MONEY,$PERCENT|$MONEY+ADV,$PERCENT|$MONEY+*+ADV,$PERCENT|$ORG,$PERCENT|$ORG+NOUN,$PERCENT|$ORG+*+NOUN
s0,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
s1,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
s2,1,They have some great offers going on now with even 70% off on some items.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s28,1,I bought a Living Social deal $30 for $60 awhile back.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
s3,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s36,0,"My parents told me a horror story about their friends ' wedding photographer , who insisted on always getting the shot he wanted .
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s70,0,"Parking can be a issue and they no longer have the dog pen.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s92,0,"there is no sense of urgency of your time at all
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s98,0,"Customer service told me """" nothing was rescheduled""""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
