id,labels,sentences,PROPN,PROPN+NOUN,PROPN+NOUN+*+ADJ,PROPN+NOUN+*+ADJ+$DATE,PROPN+NOUN+*+$DATE,PROPN+*+NOUN,PROPN+*+[location],PROPN+[location],PROPN+[location]+*+ADJ,PROPN+[location]+*+ADJ+NOUN,PROPN+[location]+*+ADJ+$DATE,PROPN+[location]+*+$DATE,PROPN+[location]+*+$DATE+NOUN,PROPN|ADV,PROPN|NUM,PROPN|NUM+NOUN,PROPN|NUM+*+NOUN,PROPN|[time],PROPN|[time]+NOUN,PROPN|[time]+*+NOUN,PROPN|[discount],PROPN|[discount]+NOUN,PROPN|[discount]+*+NOUN,PROPN|[price],PROPN|[location],PROPN|$MONEY,PROPN|$ORDINAL,PROPN|$ORDINAL+NOUN,PROPN|$ORDINAL+*+NOUN,ADV,ADV+VERB,ADV+VERB|ADJ,ADV+VERB|AUX,ADV+ADJ,ADV+ADJ|VERB,ADV+ADJ|AUX,ADV+ADJ|AUX+*+NOUN,ADV+ADJ|AUX+*+[time],ADV+ADJ|[price],ADV+AUX,ADV+AUX|ADJ,ADV+AUX|ADJ+*+NOUN,ADV+AUX|ADJ+*+[time],ADV+*+PRON|VERB,ADV+*+PRON,ADV+*+PRON|ADJ,ADV+*+PRON|ADJ+NOUN,ADV+*+PRON|ADJ+[time],ADV+*+PRON|AUX,ADV+*+PRON|[price],ADV+*+VERB|PRON,ADV+*+VERB,ADV+*+VERB|ADJ,ADV+*+VERB|AUX,ADV+*+ADJ|VERB,ADV+*+ADJ,ADV+*+ADJ|AUX+PRON,ADV+*+ADJ|AUX,ADV+*+ADJ|[price],ADV+*+AUX|PRON,ADV+*+AUX,ADV+*+AUX|ADJ+PRON,ADV+*+AUX|ADJ,ADV+*+[price]|PRON,ADV+*+[price],ADV+*+[price]|ADJ,ADV+*+[price]|AUX,ADV+[price],ADV+[price]|ADJ,ADV+[price]|AUX,ADV|PROPN,ADV|NUM,ADV|NUM+*+PRON,ADV|[time],ADV|[time]+*+PRON,ADV|[discount],ADV|[discount]+*+ADJ,ADV|[price],ADV|[price]+AUX,ADV|[price]+*+ADJ,ADV|[price]+*+ADJ|AUX,ADV|[price]+*+AUX,ADV|[price]+*+AUX+ADJ,ADV|[location],ADV|[location]+VERB,ADV|[location]+*+VERB,ADV|[location]+*+VERB|ADJ,ADV|[location]+*+ADJ,ADV|[location]+*+ADJ|VERB,ADV|$DATE,ADV|$MONEY,ADV|$MONEY+*+PRON,ADV|$ORDINAL,ADV|$ORDINAL+*+ADJ,NUM,NUM+NOUN,NUM+*+PRON,NUM+*+PRON|NOUN,NUM+*+NOUN|PRON,NUM+*+NOUN,NUM|ADV,NUM|ADV+*+PRON,NUM|[time],NUM|[time]+NOUN,NUM|[time]+*+PRON,NUM|[time]+*+PRON|NOUN,NUM|[time]+*+NOUN,NUM|[discount],NUM|[discount]+NOUN,NUM|[discount]+*+NOUN,NUM|[price],NUM|[location],NUM|$ORDINAL,NUM|$ORDINAL+NOUN,NUM|$ORDINAL+*+NOUN,[time],[time]+NOUN,[time]+NOUN|ADV,[time]+ADV,[time]+ADV|NOUN,[time]+*+PRON,[time]+*+PRON+AUX+VERB,[time]+*+PRON+AUX,[time]+*+PRON|NOUN,[time]+*+PRON|ADV,[time]+*+NOUN,[time]+*+NOUN+ADV,[time]+*+NOUN|PRON,[time]+*+ADV,[time]+*+ADV|PRON,[time]+*+ADV|NOUN,[time]|PROPN,[time]|PROPN+NOUN,[time]|PROPN+*+NOUN,[time]|ADV,[time]|ADV+*+PRON,[time]|NUM,[time]|NUM+NOUN,[time]|NUM+*+PRON,[time]|NUM+*+PRON|NOUN,[time]|NUM+*+NOUN,[time]|[discount],[time]|[discount]+NOUN,[time]|[discount]+*+NOUN,[time]|[price],[time]|[location],[time]|$DATE,[time]|$DATE+NOUN,[time]|$DATE+*+NOUN,[time]|$MONEY,[time]|$MONEY+*+PRON,[discount],[discount]+NOUN,[discount]+*+NOUN,[discount]+*+NOUN|ADJ,[discount]+*+ADJ,[discount]+*+ADJ+$ORDINAL,[discount]+*+ADJ|NOUN,[discount]|PROPN,[discount]|PROPN+NOUN,[discount]|PROPN+*+NOUN,[discount]|ADV,[discount]|ADV+*+ADJ,[discount]|NUM,[discount]|NUM+NOUN,[discount]|NUM+*+NOUN,[discount]|[time],[discount]|[time]+NOUN,[discount]|[time]+*+NOUN,[discount]|[price],[discount]|[price]+*+ADJ,[discount]|[location],[discount]|[location]+*+ADJ,[discount]|$DATE,[discount]|$DATE+NOUN,[discount]|$DATE+*+NOUN,[price],[price]+AUX,[price]+*+ADJ,[price]+*+AUX,[price]+*+AUX+ADJ,[price]|PROPN,[price]|ADV,[price]|ADV+AUX,[price]|ADV+*+ADJ,[price]|ADV+*+ADJ|AUX,[price]|ADV+*+AUX,[price]|ADV+*+AUX+ADJ,[price]|NUM,[price]|[time],[price]|[discount],[price]|[discount]+*+ADJ,[price]|[location],[price]|[location]+*+ADJ,[price]|$DATE,[price]|$MONEY,[price]|$ORDINAL,[price]|$ORDINAL+*+ADJ,[location],[location]+VERB,[location]+*+VERB,[location]+*+VERB|ADJ,[location]+*+VERB|$DATE,[location]+*+ADJ,[location]+*+ADJ+NOUN,[location]+*+ADJ+$DATE,[location]+*+ADJ|VERB,[location]+*+$DATE,[location]+*+$DATE+NOUN,[location]+*+$DATE|VERB,[location]|ADV,[location]|ADV+VERB,[location]|ADV+*+VERB,[location]|ADV+*+VERB|ADJ,[location]|ADV+*+ADJ,[location]|ADV+*+ADJ|VERB,[location]|NUM,[location]|[time],[location]|[discount],[location]|[discount]+*+ADJ,[location]|[price],[location]|[price]+*+ADJ,[location]|$MONEY,[location]|$ORDINAL,[location]|$ORDINAL+*+ADJ,[location]|$ORDINAL+*+ADJ+NOUN,$DATE,$DATE+NOUN,$DATE+*+NOUN,$DATE|ADV,$DATE|NUM,$DATE|NUM+NOUN,$DATE|NUM+*+NOUN,$DATE|[time],$DATE|[time]+NOUN,$DATE|[time]+*+NOUN,$DATE|[discount],$DATE|[discount]+NOUN,$DATE|[discount]+*+NOUN,$DATE|[price],$DATE|[location],$DATE|$MONEY,$DATE|$ORDINAL,$DATE|$ORDINAL+NOUN,$DATE|$ORDINAL+*+NOUN,$MONEY,$MONEY+*+PRON+VERB,$MONEY+*+PRON+VERB+ADJ,$MONEY+*+PRON+VERB+ADJ+NOUN,$MONEY+*+PRON+VERB+ADJ+[discount],$MONEY+*+PRON,$MONEY|PROPN,$MONEY|ADV,$MONEY|ADV+*+PRON,$MONEY|NUM,$MONEY|NUM+*+PRON,$MONEY|[time],$MONEY|[time]+*+PRON,$MONEY|[discount],$MONEY|[price],$MONEY|[location],$MONEY|$DATE,$MONEY|$ORDINAL,$ORDINAL,$ORDINAL+NOUN,$ORDINAL+NOUN+*+PRON,$ORDINAL+*+NOUN,$ORDINAL+*+ADJ,$ORDINAL+*+ADJ+NOUN,$ORDINAL+*+ADJ+[time],$ORDINAL+*+ADJ+[time]+NOUN,$ORDINAL+*+[time],$ORDINAL+*+[time]+NOUN,$ORDINAL+[time],$ORDINAL+[time]+NOUN,$ORDINAL+[time]+NOUN+*+PRON,$ORDINAL+[time]+*+NOUN,$ORDINAL|PROPN,$ORDINAL|PROPN+NOUN,$ORDINAL|PROPN+*+NOUN,$ORDINAL|ADV,$ORDINAL|ADV+*+ADJ,$ORDINAL|NUM,$ORDINAL|NUM+NOUN,$ORDINAL|NUM+*+NOUN,$ORDINAL|[time],$ORDINAL|[time]+NOUN,$ORDINAL|[time]+*+NOUN,$ORDINAL|[discount],$ORDINAL|[discount]+NOUN,$ORDINAL|[discount]+*+NOUN,$ORDINAL|[discount]+*+ADJ,$ORDINAL|[discount]+*+ADJ|NOUN,$ORDINAL|[price],$ORDINAL|[price]+*+ADJ,$ORDINAL|[location],$ORDINAL|[location]+*+ADJ,$ORDINAL|[location]+*+ADJ+NOUN,$ORDINAL|$DATE,$ORDINAL|$DATE+NOUN,$ORDINAL|$DATE+*+NOUN,$ORDINAL|$MONEY
1,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,"They have some great offers going on now with even 70% off on some items.
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"Prices were reasonable and mission accomplished!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7,1,"disappointed in the fact they don't tell you the price
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,"50$ for buffet and mind you i only ate crab legs
",1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,"Unbelievable, it was me & my mother so it was a total of 100$ i could have gone to red lobster and ate better quality of food.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
