id,labels,sentences,NUM,NUM+NOUN,NUM+*+NOUN,NUM+*+$PERCENT,NUM+$PERCENT,$MONEY,$MONEY|NUM,$MONEY|$PERCENT,$PERCENT,$PERCENT|NUM,$PERCENT|NUM+NOUN,$PERCENT|NUM+*+NOUN
ss1,1,I really enjoyed ( non - sarcastically ) having an overpriced drink here because it reminded me of New York . ,0,0,0,0,0,0,0,0,0,0,0,0
ss3,1,Hence the food is way too pricey for what 's offered ,0,0,0,0,0,0,0,0,0,0,0,0
ss12,1,WAY OVER PRICED ! $ 39 for the dish pictured . ,1,0,0,0,0,1,1,1,0,1,0,0
ss16,1,"For how much it cost , it could have been better . ",0,0,0,0,0,0,0,0,0,0,0,0
ss22,1,"I love that for things you order regularly you can establish a standing order and get a 5 % discount ( milk , eggs , etc . ) . ",1,1,1,1,1,0,1,1,1,1,1,1
ss0,0,Had a really awkward time ordering a beer because nothing on the menu was stocked . ,0,0,0,0,0,0,0,0,0,0,0,0
ss2,0,"We got here just before the peak lunch crowd on a Saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",1,1,1,0,0,0,1,0,0,1,1,1
ss4,0,I can not believe someone was not satisfied with the quality of the chicken at this location ! ,0,0,0,0,0,0,0,0,0,0,0,0
ss5,0,I love their location in LA and was hoping to get the great service I usually get when I shop over there . ,0,0,0,0,0,0,0,0,0,0,0,0
ss6,0,"Delicious food , friendly people , quick . ",0,0,0,0,0,0,0,0,0,0,0,0
