id,labels,sentences,PROPN,PROPN+NOUN,PROPN+NOUN|VERB,PROPN+NOUN|ADJ,PROPN+*+NOUN,ADV+PRON|VERB,ADV+PRON,ADV+PRON|ADJ,ADV+PRON|ADJ+NOUN,ADV+PRON|ADJ+*+NOUN,ADV+PRON|AUX,ADV+PRON|AUX+*+NOUN,ADV+PRON|NUM,ADV+PRON|[price],ADV+PRON|[well],ADV+PRON|$MONEY,ADV+PRON|$PERCENT,ADV+VERB|PRON,ADV+VERB,ADV+VERB|ADJ,ADV+VERB|ADJ+*+NOUN,ADV+VERB|AUX,ADV+VERB|AUX+*+NOUN,ADV,ADV+NOUN|PRON,ADV+NOUN|PRON+*+VERB,ADV+NOUN,ADV+NOUN|ADJ,ADV+NOUN|ADJ+*+PRON,ADV+NOUN|AUX,ADV+ADJ|PRON,ADV+ADJ|PRON+NOUN,ADV+ADJ|PRON+*+NOUN,ADV+ADJ|VERB,ADV+ADJ|VERB+*+NOUN,ADV+ADJ,ADV+ADJ|AUX,ADV+ADJ|AUX+*+NOUN,ADV+ADJ|NUM,ADV+ADJ|NUM+NOUN,ADV+ADJ|NUM+*+NOUN,ADV+ADJ|[price],ADV+ADJ|[well],ADV+ADJ|$MONEY,ADV+ADJ|$PERCENT,ADV+ADJ|$PERCENT+NOUN,ADV+ADJ|$PERCENT+*+NOUN,ADV+AUX|PRON,ADV+AUX|PRON+*+NOUN,ADV+AUX|VERB,ADV+AUX|VERB+*+NOUN,ADV+AUX,ADV+AUX|NOUN,ADV+AUX|ADJ,ADV+AUX|ADJ+*+NOUN,ADV+AUX|NUM,ADV+AUX|NUM+*+NOUN,ADV+AUX|[well],ADV+AUX|$MONEY,ADV+AUX|$PERCENT,ADV+AUX|$PERCENT+*+NOUN,ADV+NUM|PRON,ADV+NUM,ADV+NUM|ADJ,ADV+NUM|ADJ+NOUN,ADV+NUM|ADJ+*+NOUN,ADV+NUM|AUX,ADV+NUM|AUX+*+NOUN,ADV+*+PRON|VERB,ADV+*+PRON|PROPN,ADV+*+PRON|NOUN,ADV+*+PRON|NOUN+AUX,ADV+*+PRON|ADJ,ADV+*+PRON|ADJ+NOUN,ADV+*+PRON|AUX+VERB,ADV+*+PRON|AUX,ADV+*+PRON|NUM,ADV+*+PRON|NUM+NOUN,ADV+*+PRON,ADV+*+PRON|[deal],ADV+*+PRON|[price],ADV+*+PRON|[well],ADV+*+PRON|$MONEY,ADV+*+PRON|$PERCENT,ADV+*+VERB|PRON,ADV+*+VERB|NOUN,ADV+*+VERB|ADJ+PRON,ADV+*+VERB|ADJ,ADV+*+VERB|AUX,ADV+*+VERB|NUM,ADV+*+VERB,ADV+*+VERB|[deal],ADV+*+VERB|[well],ADV+*+VERB|$DATE,ADV+*+VERB|$MONEY,ADV+*+VERB|$PERCENT,ADV+*+NOUN|PRON,ADV+*+NOUN|PRON+AUX,ADV+*+NOUN|VERB,ADV+*+NOUN|PROPN,ADV+*+NOUN|ADJ+PRON,ADV+*+NOUN|ADJ,ADV+*+NOUN|AUX,ADV+*+NOUN|NUM,ADV+*+NOUN,ADV+*+NOUN|[price],ADV+*+NOUN|[well],ADV+*+NOUN|$MONEY,ADV+*+NOUN|$ORDINAL,ADV+*+ADJ,ADV+*+ADJ+NOUN|PRON,ADV+*+ADJ+NOUN,ADV+*+ADJ+[deal]|PRON,ADV+*+ADJ+[deal],ADV+*+ADJ+[deal]|NOUN,ADV+*+ADJ+[deal]|[place],ADV+*+ADJ+[deal]|[time],ADV+*+ADJ+[place]|PRON,ADV+*+ADJ+[place],ADV+*+ADJ+[place]|NOUN,ADV+*+ADJ+[place]|[deal],ADV+*+ADJ+[place]|[time],ADV+*+AUX|PRON+VERB,ADV+*+AUX|PRON,ADV+*+AUX|VERB,ADV+*+AUX|PROPN,ADV+*+AUX|NOUN,ADV+*+AUX|ADJ+PRON,ADV+*+AUX|ADJ,ADV+*+AUX|NUM,ADV+*+AUX,ADV+*+AUX|[deal],ADV+*+AUX|[well],ADV+*+AUX|$MONEY,ADV+*+AUX|$ORDINAL,ADV+*+AUX|$PERCENT,ADV+*+NUM|PRON,ADV+*+NUM|PRON+NOUN,ADV+*+NUM|VERB,ADV+*+NUM|PROPN,ADV+*+NUM|NOUN,ADV+*+NUM|ADJ,ADV+*+NUM|ADJ+NOUN,ADV+*+NUM|AUX,ADV+*+NUM,ADV+*+NUM|[deal],ADV+*+NUM|[price],ADV+*+NUM|[well],ADV+*+NUM|$DATE,ADV+*+[deal]|PRON,ADV+*+[deal]|VERB,ADV+*+[deal]|PROPN,ADV+*+[deal]|NOUN,ADV+*+[deal]|ADJ,ADV+*+[deal]|AUX,ADV+*+[deal]|NUM,ADV+*+[deal],ADV+*+[deal]|[price],ADV+*+[deal]|[well],ADV+*+[deal]|$DATE,ADV+*+[deal]|$MONEY,ADV+*+[deal]|$ORDINAL,ADV+*+[deal]|$PERCENT,ADV+[price]|PRON,ADV+[price],ADV+[price]|ADJ,ADV+[price]|AUX,ADV+[well]|PRON,ADV+[well],ADV+[well]|ADJ,ADV+[well]|AUX,ADV+$MONEY|PRON,ADV+$MONEY,ADV+$MONEY|ADJ,ADV+$MONEY|AUX,ADV+$PERCENT|PRON,ADV+$PERCENT,ADV+$PERCENT|ADJ,ADV+$PERCENT|ADJ+NOUN,ADV+$PERCENT|ADJ+*+NOUN,ADV+$PERCENT|AUX,ADV+$PERCENT|AUX+*+NOUN,NUM,NUM+NOUN,NUM+NOUN|ADV,NUM+*+NOUN,NUM+*+ADV,[good],[deal],[price],[price]+VERB,[price]+VERB|ADV,[price]+VERB|AUX,[price]+*+VERB,[pay],[place],[place]+*+VERB,[shop],[find],[well],[well]+NOUN,[well]+*+NOUN,[discount],[shoe],$MONEY
1,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3,1,"They have some great offers going on now with even 70% off on some items.
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,"Prices vary so you have to shop around, but every once in a while you can find a really awesome deal.
",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
5,1,"Too many other places to shop with better prices.
",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0
6,1,"Prices were reasonable and mission accomplished!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"disappointed in the fact they don't tell you the price
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"50$ for buffet and mind you i only ate crab legs
",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,"Unbelievable, it was me & my mother so it was a total of 100$ i could have gone to red lobster and ate better quality of food.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
10,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
