id,labels,sentences,PROPN,PROPN|NUM,PROPN|NUM+*+PRON,PROPN|NUM+*+PRON|NOUN,PROPN|NUM+*+NOUN|PRON,PROPN|NUM+*+NOUN,PROPN|[price],PROPN|[price]+*+PRON,PROPN|[price]+*+PRON|ADJ,PROPN|[price]+*+PRON|ADV,PROPN|[price]+*+ADJ|PRON,PROPN|[price]+*+ADJ,PROPN|[price]+*+ADJ|ADV,PROPN|[price]+*+ADV|PRON,PROPN|[price]+*+ADV,PROPN|[price]+*+ADV|ADJ,PROPN|[time],PROPN|[time]+*+PRON,PROPN|[time]+*+PRON|NOUN,PROPN|[time]+*+PRON|ADV,PROPN|[time]+*+NOUN|PRON,PROPN|[time]+*+NOUN,PROPN|[time]+*+NOUN|ADV,PROPN|[time]+*+ADV|PRON,PROPN|[time]+*+ADV,PROPN|[time]+*+ADV|NOUN,PROPN|[discount],PROPN|[discount]+*+PRON,PROPN|[discount]+*+PRON|NOUN,PROPN|[discount]+*+PRON|ADJ,PROPN|[discount]+*+NOUN|PRON,PROPN|[discount]+*+NOUN,PROPN|[discount]+*+NOUN|ADJ,PROPN|[discount]+*+ADJ|PRON,PROPN|[discount]+*+ADJ,PROPN|[discount]+*+ADJ|NOUN,PROPN|[shoe],PROPN|[shoe]+*+ADV,PROPN|$MONEY,PROPN|$MONEY+*+PRON,PROPN|$ORDINAL,PROPN|$ORDINAL+*+NOUN,PROPN|$ORDINAL+*+NOUN|ADJ,PROPN|$ORDINAL+*+ADJ,PROPN|$ORDINAL+*+ADJ|NOUN,NUM,NUM|PROPN,NUM|PROPN+*+PRON,NUM|PROPN+*+PRON|NOUN,NUM|PROPN+*+NOUN|PRON,NUM|PROPN+*+NOUN,NUM|[price],NUM|[price]+*+PRON+VERB,NUM|[price]+*+PRON,NUM|[time],NUM|[time]+NOUN,NUM|[time]+*+PRON,NUM|[time]+*+PRON|NOUN,NUM|[time]+*+NOUN,NUM|[discount],NUM|[discount]+NOUN,NUM|[discount]+*+PRON,NUM|[discount]+*+PRON|NOUN,NUM|[discount]+*+NOUN|PRON,NUM|[discount]+*+NOUN,NUM|[shoe],NUM|$ORDINAL,NUM|$ORDINAL+NOUN,NUM|$ORDINAL+*+NOUN,NUM|$PERSON,NUM|$PERSON+*+PRON,[price]+PRON,[price]+PRON|ADV,[price]+PRON|AUX,[price],[price]+ADV|PRON,[price]+ADV,[price]+ADV|AUX,[price]+AUX|PRON,[price]+AUX,[price]+AUX|ADV,[price]+*+PRON+VERB,[price]+*+PRON,[price]+*+PRON|VERB,[price]+*+PRON|ADJ,[price]+*+PRON|ADV,[price]+*+PRON|AUX,[price]+*+VERB,[price]+*+VERB|PRON,[price]+*+VERB|ADJ,[price]+*+VERB|ADV,[price]+*+VERB|AUX,[price]+*+AUX,[price]+*+AUX|PRON,[price]+*+AUX|VERB,[price]|PROPN,[price]|PROPN+*+PRON,[price]|PROPN+*+PRON|ADJ,[price]|PROPN+*+PRON|ADV,[price]|PROPN+*+ADJ|PRON,[price]|PROPN+*+ADJ,[price]|PROPN+*+ADJ|ADV,[price]|PROPN+*+ADV|PRON,[price]|PROPN+*+ADV,[price]|PROPN+*+ADV|ADJ,[price]|NUM,[price]|NUM+*+PRON+VERB,[price]|NUM+*+PRON,[price]|[time],[price]|[time]+ADV,[price]|[time]+*+PRON,[price]|[time]+*+PRON|ADV,[price]|[time]+*+ADV,[price]|[time]+*+ADV|PRON,[price]|[discount],[price]|[discount]+*+PRON,[price]|[discount]+*+PRON|ADJ,[price]|[discount]+*+ADJ,[price]|[discount]+*+ADJ|PRON,[price]|$MONEY,[price]|$MONEY+*+PRON+VERB,[price]|$MONEY+*+PRON,[price]|$ORDINAL,[price]|$ORDINAL+*+ADJ,[price]|$ORG,[time],[time]+*+NOUN,[time]+*+NOUN|PRON,[time]|PROPN,[time]|PROPN+*+PRON,[time]|PROPN+*+PRON|NOUN,[time]|PROPN+*+PRON|ADV,[time]|PROPN+*+NOUN|PRON,[time]|PROPN+*+NOUN,[time]|PROPN+*+NOUN|ADV,[time]|PROPN+*+ADV|PRON,[time]|PROPN+*+ADV,[time]|PROPN+*+ADV|NOUN,[time]|NUM,[time]|NUM+NOUN,[time]|NUM+*+PRON,[time]|NUM+*+PRON|NOUN,[time]|NUM+*+NOUN,[time]|[price],[time]|[price]+ADV,[time]|[price]+*+PRON,[time]|[price]+*+PRON|ADV,[time]|[price]+*+ADV,[time]|[price]+*+ADV|PRON,[time]|[discount],[time]|[discount]+NOUN,[time]|[discount]+*+PRON,[time]|[discount]+*+PRON|NOUN,[time]|[discount]+*+NOUN,[time]|[discount]+*+NOUN|PRON,[time]|[shoe],[time]|[shoe]+ADV,[time]|[shoe]+*+ADV,[time]|$MONEY,[time]|$MONEY+*+PRON,[time]|$ORG,[time]|$PERSON,[time]|$PERSON+*+PRON,[discount],[discount]|PROPN,[discount]|PROPN+*+PRON,[discount]|PROPN+*+PRON|NOUN,[discount]|PROPN+*+PRON|ADJ,[discount]|PROPN+*+NOUN|PRON,[discount]|PROPN+*+NOUN,[discount]|PROPN+*+NOUN|ADJ,[discount]|PROPN+*+ADJ|PRON,[discount]|PROPN+*+ADJ,[discount]|PROPN+*+ADJ|NOUN,[discount]|NUM,[discount]|NUM+NOUN,[discount]|NUM+*+PRON,[discount]|NUM+*+PRON|NOUN,[discount]|NUM+*+NOUN|PRON,[discount]|NUM+*+NOUN,[discount]|[price],[discount]|[price]+*+PRON,[discount]|[price]+*+PRON|ADJ,[discount]|[price]+*+ADJ,[discount]|[price]+*+ADJ|PRON,[discount]|[time],[discount]|[time]+NOUN,[discount]|[time]+*+PRON,[discount]|[time]+*+PRON|NOUN,[discount]|[time]+*+NOUN,[discount]|[time]+*+NOUN|PRON,[discount]|[shoe],[discount]|$MONEY,[discount]|$MONEY+*+PRON,[discount]|$ORG,[discount]|$PERSON,[discount]|$PERSON+*+PRON,[shoe],[shoe]|PROPN,[shoe]|PROPN+*+ADV,[shoe]|NUM,[shoe]|[price],[shoe]|[price]+ADV,[shoe]|[price]+ADV|AUX,[shoe]|[price]+AUX,[shoe]|[price]+AUX|ADV,[shoe]|[price]+*+ADV,[shoe]|[price]+*+ADV|AUX,[shoe]|[price]+*+AUX,[shoe]|[time],[shoe]|[time]+ADV,[shoe]|[time]+*+ADV,[shoe]|[discount],[shoe]|$MONEY,[shoe]|$ORDINAL,[shoe]|$ORG,[shoe]|$PERSON,$MONEY,$MONEY|PROPN,$MONEY|PROPN+*+PRON,$MONEY|NUM,$MONEY|[price],$MONEY|[price]+*+PRON+VERB,$MONEY|[price]+*+PRON,$MONEY|[time],$MONEY|[time]+*+PRON,$MONEY|[discount],$MONEY|[discount]+*+PRON,$MONEY|[shoe],$MONEY|$ORDINAL,$MONEY|$PERSON,$MONEY|$PERSON+*+PRON
s24,1,"The shoe was on special price so we got a good deal and bought the shoe as well!
",0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
s8,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s5,1,"Prices were reasonable and mission accomplished!
",0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
s84,1,"For the price I paid, I get more with a vist to another fast food competitor.",0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
s10,1,"They have coupons discount for first second and third time customers through their website .
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
s29,1,"Prices here are very reasonable!
",0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
s12,1,Adult tickets are $ 13.50 but they have military discount .,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s46,1,"My other dining companions seemed pleased with their food ( one ordered a veal marsala that I did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious ) !
",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s47,1,"And they let me apply the discount to both of our tickets .
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
s26,1,I purchased a Gibeon Meteorite and black zirconium wedding band from Rings Unique for approximately $1200.,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0
