id,labels,sentences,NUM,NUM+NOUN,NUM+*+NOUN,NUM+*+NOUN+ADV,NUM+*+ADV,NUM+*+ADV|NOUN,NUM+*+$PERCENT,NUM+*+$PERCENT+ADV,NUM+*+$PERCENT|NOUN,NUM+*+$PERCENT|NOUN+ADV,NUM+$PERCENT,NUM|[time],NUM|[time]+NOUN,NUM|[time]+*+NOUN,NUM|[time]+*+NOUN+ADV,NUM|[time]+*+ADV,NUM|[time]+*+ADV|NOUN,NUM|[discount],NUM|[discount]+NOUN,NUM|[discount]+*+NOUN,NUM|[item],NUM|[bit],NUM|[bit]+*+ADV,NUM|$ORDINAL,NUM|$ORDINAL+NOUN,NUM|$ORDINAL+*+NOUN,[time],[time]+NOUN,[time]+NOUN|ADV,[time]+ADV,[time]+ADV|NOUN,[time]+*+PRON,[time]+*+PRON+AUX+VERB,[time]+*+PRON+AUX,[time]+*+PRON|NOUN,[time]+*+PRON|ADV,[time]+*+NOUN,[time]+*+NOUN+ADV,[time]+*+NOUN|PRON,[time]+*+ADV,[time]+*+ADV|PRON,[time]+*+ADV|NOUN,[time]|NUM,[time]|NUM+NOUN,[time]|NUM+*+NOUN,[time]|NUM+*+NOUN+ADV,[time]|NUM+*+ADV,[time]|NUM+*+ADV|NOUN,[time]|[discount],[time]|[discount]+NOUN,[time]|[discount]+*+NOUN,[time]|[item],[time]|[item]+*+PRON,[time]|[bit],[time]|[bit]+ADV,[time]|[bit]+*+PRON,[time]|[bit]+*+PRON+AUX,[time]|[bit]+*+PRON|ADV,[time]|[bit]+*+ADV,[time]|[bit]+*+ADV|PRON,[time]|$PERCENT,[time]|$PERCENT+NOUN,[time]|$PERCENT+NOUN|ADV,[time]|$PERCENT+ADV,[time]|$PERCENT+ADV|NOUN,[time]|$PERCENT+*+NOUN,[time]|$PERCENT+*+NOUN+ADV,[time]|$PERCENT+*+ADV,[time]|$PERCENT+*+ADV|NOUN,[discount],[discount]+NOUN,[discount]+*+NOUN,[discount]+*+NOUN|ADJ,[discount]+*+ADJ,[discount]+*+ADJ+$ORDINAL,[discount]+*+ADJ|NOUN,[discount]|NUM,[discount]|NUM+NOUN,[discount]|NUM+*+NOUN,[discount]|[time],[discount]|[time]+NOUN,[discount]|[time]+*+NOUN,[discount]|[item],[discount]|[bit],[discount]|[bit]+*+ADJ,[discount]|$PERCENT,[discount]|$PERCENT+NOUN,[discount]|$PERCENT+*+NOUN,[item]+PRON,[item],[item]+*+PRON+VERB,[item]+*+PRON+VERB+ADV,[item]+*+PRON+VERB+ADV+AUX,[item]+*+PRON,[item]+*+VERB,[item]+*+VERB+ADV,[item]+*+VERB+ADV+AUX,[item]|NUM,[item]|[time],[item]|[time]+*+PRON,[item]|[discount],[item]|$ORDINAL,[bit],[bit]+ADJ+PRON,[bit]+ADJ+PRON+AUX,[bit]+ADJ+PRON+AUX+*+NOUN,[bit]+ADJ+PRON+*+AUX,[bit]+ADJ,[bit]+ADJ+*+PRON,[bit]+ADJ+*+PRON+AUX,[bit]+ADJ+*+AUX,[bit]+ADV,[bit]+ADV+VERB,[bit]+ADV+*+VERB,[bit]+*+PRON,[bit]+*+PRON+AUX,[bit]+*+VERB,[bit]+*+ADJ+PRON,[bit]+*+ADJ+PRON+AUX,[bit]+*+ADJ,[bit]+*+ADV,[bit]+*+ADV+VERB,[bit]|NUM,[bit]|NUM+*+ADV,[bit]|[time],[bit]|[time]+ADV,[bit]|[time]+*+PRON,[bit]|[time]+*+PRON+AUX,[bit]|[time]+*+PRON|ADV,[bit]|[time]+*+ADV,[bit]|[time]+*+ADV|PRON,[bit]|[discount],[bit]|[discount]+*+ADJ,[bit]|[item],[bit]|[item]+*+PRON,[bit]|[item]+*+VERB,[bit]|$ORDINAL,[bit]|$ORDINAL+*+ADJ,[bit]|$PERCENT,[bit]|$PERCENT+ADV,[bit]|$PERCENT+*+ADV,$ORDINAL,$ORDINAL+NOUN,$ORDINAL+NOUN+*+PRON,$ORDINAL+*+NOUN,$ORDINAL+*+ADJ,$ORDINAL+*+ADJ+NOUN,$ORDINAL+*+ADJ+[time],$ORDINAL+*+ADJ+[time]+NOUN,$ORDINAL+*+[time],$ORDINAL+*+[time]+NOUN,$ORDINAL+[time],$ORDINAL+[time]+NOUN,$ORDINAL+[time]+NOUN+*+PRON,$ORDINAL+[time]+*+NOUN,$ORDINAL|NUM,$ORDINAL|NUM+NOUN,$ORDINAL|NUM+*+NOUN,$ORDINAL|[time],$ORDINAL|[time]+NOUN,$ORDINAL|[time]+*+NOUN,$ORDINAL|[discount],$ORDINAL|[discount]+NOUN,$ORDINAL|[discount]+*+NOUN,$ORDINAL|[discount]+*+ADJ,$ORDINAL|[discount]+*+ADJ|NOUN,$ORDINAL|[item],$ORDINAL|[bit],$ORDINAL|[bit]+*+ADJ,$ORDINAL|$PERCENT,$ORDINAL|$PERCENT+NOUN,$ORDINAL|$PERCENT+*+NOUN,$PERCENT,$PERCENT+NOUN,$PERCENT+NOUN+ADV,$PERCENT+NOUN+*+ADV,$PERCENT+ADV,$PERCENT+*+NOUN,$PERCENT+*+NOUN+ADV,$PERCENT+*+ADV,$PERCENT|NUM,$PERCENT|NUM+NOUN,$PERCENT|NUM+*+NOUN,$PERCENT|NUM+*+NOUN+ADV,$PERCENT|NUM+*+ADV,$PERCENT|NUM+*+ADV|NOUN,$PERCENT|[time],$PERCENT|[time]+NOUN,$PERCENT|[time]+NOUN|ADV,$PERCENT|[time]+ADV,$PERCENT|[time]+ADV|NOUN,$PERCENT|[time]+*+NOUN,$PERCENT|[time]+*+NOUN+ADV,$PERCENT|[time]+*+ADV,$PERCENT|[time]+*+ADV|NOUN,$PERCENT|[discount],$PERCENT|[discount]+NOUN,$PERCENT|[discount]+*+NOUN,$PERCENT|[item],$PERCENT|[bit],$PERCENT|[bit]+ADV,$PERCENT|[bit]+*+ADV,$PERCENT|$ORDINAL,$PERCENT|$ORDINAL+NOUN,$PERCENT|$ORDINAL+*+NOUN
s0,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
s2,1,They have some great offers going on now with even 70% off on some items.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s5,1,"Prices were reasonable and mission accomplished!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s6,1,50$ for buffet and mind you i only ate crab legs,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
s11,1,"Me : Then why did you tell me they were on discount ?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s9,1,"This place is only worth your time if you are looking for discount designer jeans .
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
s10,1,"They have coupons discount for first second and third time customers through their website .
",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1
s3,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
