id,labels,sentences,PROPN,PROPN+NOUN,PROPN+NOUN+*+ADJ,PROPN+NOUN+*+ADJ+$DATE,PROPN+NOUN+*+ADJ|NUM,PROPN+NOUN+*+ADJ|$MONEY,PROPN+NOUN+*+NUM,PROPN+NOUN+*+NUM|ADJ,PROPN+NOUN+*+NUM|$DATE,PROPN+NOUN+*+$DATE,PROPN+NOUN+*+$DATE|NUM,PROPN+NOUN+*+$DATE|$MONEY,PROPN+NOUN+*+$MONEY,PROPN+NOUN+*+$MONEY|ADJ,PROPN+NOUN+*+$MONEY|$DATE,PROPN+*+NOUN,PROPN+*+[location],PROPN+*+[location]|NOUN,PROPN+*+[location]|$ORG,PROPN+*+$ORG,PROPN+*+$ORG|NOUN,PROPN+*+$ORG|[location],PROPN+[location],PROPN+[location]|NOUN,PROPN+[location]|NOUN+*+ADJ,PROPN+[location]|NOUN+*+ADJ+$DATE,PROPN+[location]|NOUN+*+$DATE,PROPN+[location]|$ORG,PROPN+$ORG,PROPN+$ORG|NOUN,PROPN+$ORG|[location],PROPN|NUM,PROPN|NUM+NOUN,PROPN|NUM+*+NOUN,PROPN|[pay],PROPN|[location],PROPN|[price],PROPN|[shop],PROPN|$MONEY,NUM,NUM+NOUN,NUM+NOUN|ADV,NUM+ADV,NUM+ADV|NOUN,NUM+*+PRON,NUM+*+PRON|NOUN,NUM+*+PRON|ADV,NUM+*+NOUN,NUM+*+ADV|PRON,NUM+*+ADV,NUM+*+ADV|NOUN,NUM|[pay],NUM|[pay]+*+PRON,NUM|[location],NUM|[price],NUM|[price]+ADV,NUM|[price]+*+ADV,NUM|[shop],[pay],[pay]+*+PRON,[pay]+*+PRON+AUX,[pay]+*+PRON+AUX+ADJ,[pay]|PROPN,[pay]|NUM,[pay]|NUM+*+PRON,[pay]|[location],[pay]|[price],[pay]|[shop],[pay]|$DATE,[pay]|$MONEY,[pay]|$MONEY+*+PRON,[pay]|$ORG,[location],[location]+VERB,[location]+*+VERB,[location]+*+ADJ,[location]+*+ADJ+NOUN,[location]+*+ADJ+$DATE,[location]+*+$DATE,[location]+*+$DATE+NOUN,[location]|PROPN,[location]|NUM,[location]|[pay],[location]|[price],[location]|[shop],[location]|[shop]+VERB,[location]|[shop]+*+VERB,[location]|[shop]+*+ADJ,[location]|[shop]+*+ADJ+NOUN,[location]|$MONEY,[location]|$ORG,[price],[price]+ADV,[price]+*+ADV,[price]+*+AUX,[price]|PROPN,[price]|NUM,[price]|NUM+ADV,[price]|NUM+*+ADV,[price]|[pay],[price]|[location],[price]|[shop],[price]|$DATE,[price]|$MONEY,[price]|$MONEY+ADV,[price]|$MONEY+*+ADV,[price]|$ORG,[shop],[shop]+VERB,[shop]+*+VERB,[shop]+*+ADJ,[shop]+*+ADJ+NOUN,[shop]+*+ADJ+[price],[shop]|PROPN,[shop]|NUM,[shop]|[pay],[shop]|[location],[shop]|[location]+VERB,[shop]|[location]+*+VERB,[shop]|[location]+*+ADJ,[shop]|[location]+*+ADJ+NOUN,[shop]|[price],[shop]|$DATE,[shop]|$MONEY,[shop]|$ORG,$DATE,$DATE+NOUN,$DATE+*+NOUN,$DATE|PROPN,$DATE|PROPN+NOUN,$DATE|PROPN+*+NOUN,$DATE|NUM,$DATE|NUM+NOUN,$DATE|NUM+*+NOUN,$DATE|[pay],$DATE|[location],$DATE|[price],$DATE|[shop],$DATE|$MONEY,$DATE|$ORG,$DATE|$ORG+NOUN,$DATE|$ORG+*+NOUN,$MONEY,$MONEY+ADV,$MONEY+*+PRON+VERB,$MONEY+*+PRON+VERB+NOUN,$MONEY+*+PRON,$MONEY+*+PRON|ADV,$MONEY+*+ADV,$MONEY+*+ADV|PRON,$MONEY|PROPN,$MONEY|NUM,$MONEY|NUM+ADV,$MONEY|NUM+*+PRON,$MONEY|NUM+*+PRON|ADV,$MONEY|NUM+*+ADV|PRON,$MONEY|NUM+*+ADV,$MONEY|[pay],$MONEY|[pay]+*+PRON,$MONEY|[location],$MONEY|[price],$MONEY|[price]+ADV,$MONEY|[price]+*+ADV,$MONEY|[shop],$MONEY|$DATE,$ORG,$ORG+PROPN,$ORG+PROPN+NOUN,$ORG+PROPN+NOUN+*+NUM,$ORG+PROPN+NOUN+*+$MONEY,$ORG+PROPN+*+NOUN,$ORG+NOUN,$ORG+NOUN+*+NUM,$ORG+NOUN+*+$MONEY,$ORG+*+PROPN,$ORG+*+PROPN+NOUN,$ORG+*+NOUN,$ORG|PROPN,$ORG|PROPN+NOUN,$ORG|PROPN+NOUN+*+NUM,$ORG|PROPN+NOUN+*+$MONEY,$ORG|PROPN+*+NOUN,$ORG|NUM,$ORG|NUM+NOUN,$ORG|NUM+*+NOUN,$ORG|[pay],$ORG|[location],$ORG|[price],$ORG|[shop],$ORG|$DATE,$ORG|$DATE+NOUN,$ORG|$DATE+*+NOUN,$ORG|$MONEY
s31,1,"For the money we paid (over 80 $ for 1 appetizer, 2 dinners, 2 drinks) we could not eat much",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
s17,1,I 've been using this Discount Tire location for many years and for my last 3 vehicles .,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
s11,1,"Me : Then why did you tell me they were on discount ?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s27,1,"For the amenities and $ paid, it's small.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s29,1,"Prices here are very reasonable!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
s25,1,"but they are more expensive than what I've paid in the past and what another shop charges
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
s28,1,I bought a Living Social deal $30 for $60 awhile back.,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s103,1,Large selection of dishes for under $9 and there is tons of food.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
s0,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
s20,1,"Too many other places to shop with better prices.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
