id,labels,sentences,PROPN,PROPN+NOUN,PROPN+NOUN+*+NUM,PROPN+NOUN+*+$MONEY,PROPN+*+NOUN,PROPN+*,PROPN+*+$ORG,PROPN+*+$ORG+NOUN,PROPN+$ORG,PROPN+$ORG+NOUN,PROPN+$ORG+NOUN+*+NUM,PROPN+$ORG+NOUN+*+$MONEY,PROPN+$ORG+*+NOUN,PROPN|[expensive],PROPN|[pay],PROPN|[past],PROPN|[shop],NUM,NUM+ADV,NUM+*+ADV,NUM+*,NUM|[expensive],NUM|[pay],NUM|[past],NUM|[shop],[expensive],[expensive]+*+PRON,[expensive]+*+PRON+AUX+VERB,[expensive]+*+PRON+AUX,[expensive]+*+PRON+AUX+[pay],[expensive]|PROPN,[expensive]|NUM,[expensive]|$MONEY,[expensive]|$ORG,[pay],[pay]|PROPN,[pay]|NUM,[pay]|$MONEY,[pay]|$ORG,[past],[past]+*+PRON,[past]|PROPN,[past]|NUM,[past]|$MONEY,[past]|$ORG,[shop],[shop]+VERB,[shop]+*+VERB,[shop]+*,[shop]|PROPN,[shop]|NUM,[shop]|$MONEY,[shop]|$ORG,$MONEY,$MONEY+ADV,$MONEY+*+ADV,$MONEY|[expensive],$MONEY|[pay],$MONEY|[past],$MONEY|[shop],$ORG,$ORG+PROPN,$ORG+PROPN+NOUN,$ORG+PROPN+NOUN+*+NUM,$ORG+PROPN+NOUN+*+$MONEY,$ORG+PROPN+*+NOUN,$ORG+NOUN,$ORG+NOUN+*+NUM,$ORG+NOUN+*+$MONEY,$ORG+*+PROPN,$ORG+*+PROPN+NOUN,$ORG+*+NOUN,$ORG|[expensive],$ORG|[pay],$ORG|[past],$ORG|[shop]
s25,1,"but they are more expensive than what I've paid in the past and what another shop charges
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
s28,1,I bought a Living Social deal $30 for $60 awhile back.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s77,0,"The store was clean and well organized
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s71,0,"Service isn't great either.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s91,0,"disappointed in the fact they don't tell you the price
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s83,0,Slowest coffee shop I've been to in boston. Took 15 minutes for me to get a breakfast sandwich.,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s89,0,"I cannot believe someone was not satisfied with the quality of the chicken at this location!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s69,0,"The attention to customers I observed to be very good and free computer use is available in the lobby.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s53,0,"Today we waited over ten minutes behind one car in the drive thru for their single order
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
