id,labels,sentences,PROPN,PROPN|NUM,PROPN|$PERCENT,NUM,NUM+NOUN,NUM+*+NOUN,NUM+*+$PERCENT,NUM+$PERCENT,$MONEY,$MONEY|PROPN,$MONEY|PROPN|NUM,$MONEY|PROPN|NUM+*,$MONEY|PROPN|$PERCENT,$MONEY|PROPN|$PERCENT+*,$MONEY|NUM,$MONEY|NUM|PROPN,$MONEY|NUM|PROPN+*,$MONEY|$PERCENT,$MONEY|$PERCENT|PROPN,$MONEY|$PERCENT|PROPN+*,$PERCENT,$PERCENT|NUM,$PERCENT|NUM+NOUN,$PERCENT|NUM+*+NOUN,$PERCENT|NUM|PROPN,$PERCENT|NUM|PROPN+*
ss1,1,I really enjoyed ( non - sarcastically ) having an overpriced drink here because it reminded me of New York . ,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
ss3,1,Hence the food is way too pricey for what 's offered ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss12,1,WAY OVER PRICED ! $ 39 for the dish pictured . ,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
ss16,1,"For how much it cost , it could have been better . ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss19,1,The shoe was on special price so we got a good deal and bought the shoe as well ! ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss22,1,"I love that for things you order regularly you can establish a standing order and get a 5 % discount ( milk , eggs , etc . ) . ",0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ss0,0,Had a really awkward time ordering a beer because nothing on the menu was stocked . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss2,0,"We got here just before the peak lunch crowd on a Saturday morning , and still had to wait 30 minutes , which gave us enough time to find parking down the street . ",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
ss4,0,I can not believe someone was not satisfied with the quality of the chicken at this location ! ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss5,0,I love their location in LA and was hoping to get the great service I usually get when I shop over there . ,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
ss6,0,"Delicious food , friendly people , quick . ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss7,0,Horrible service attitude . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss8,0,Great service at lunch . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss9,0,"Environment is very open , clean and comfortable . ",1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
ss10,0,Our server actually seemed annoyed that he had to talk with us ... Just another table and more faces ... More orders ... Move it along . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss11,0,She even stayed with me after closing to make sure I got everything I needed ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss13,0,"The decor looks a little old fashioned , but that actually adds to the feel and I like it . ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss14,0,"They do not accept reservations , but it is worth the wait . ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss15,0,The product itself is a repellent combination of over intense flavours ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss17,0,Parking can be a issue and they no longer have the dog pen . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss18,0,"All you can say is yuuummmmmmmmyy , the line was n't bad given we were there around 3 pm ",0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1
ss20,0,Service is n't great either . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss21,0,This mall actually feels like one in Las Vegas . ,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
ss23,0,The servers were a bit confused ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss24,0,It was a little last minute and they were extremely accommodating . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
