id,labels,sentences,PROPN,PROPN+*+NOUN,PROPN+*+NOUN+ADV,PROPN+*+NOUN+[sauce],PROPN+*+NOUN+[sauce]+ADV,PROPN|[coupon],PROPN|[coupon]+*+NOUN,PROPN|[discount],PROPN|$ORDINAL,PROPN|$ORDINAL+*+NOUN,[order],[order]+*+ADJ,[order]+*,[order]|[coupon],[order]|[discount],[order]|[discount]+*+ADJ,[order]|[discount]+*,[order]|$ORDINAL,[order]|$ORDINAL+*+ADJ,[order]|$ORDINAL+*+ADJ+NOUN,[order]|$ORDINAL+*,[sauce],[sauce]+ADV,[sauce]+ADV+*+NOUN,[sauce]+*+ADV,[sauce]|[coupon],[sauce]|[discount],[sauce]|$ORDINAL,[coupon],[coupon]+NOUN,[coupon]+NOUN+*+ADJ,[coupon]+NOUN+*+ADJ+$ORDINAL,[coupon]+*+NOUN,[coupon]+*+[discount],[coupon]+[discount],[coupon]+[discount]+*+ADJ,[coupon]+[discount]+*+ADJ+$ORDINAL,[coupon]|PROPN,[coupon]|PROPN+*+NOUN,[coupon]|[order],[coupon]|[sauce],[discount],[discount]+*+ADJ,[discount]+*+ADJ+$ORDINAL,[discount]|PROPN,[discount]|[order],[discount]|[order]+*+ADJ,[discount]|[order]+*,[discount]|[sauce],$ORDINAL,$ORDINAL+NOUN,$ORDINAL+NOUN+*+PRON,$ORDINAL+*+NOUN,$ORDINAL+*+ADJ,$ORDINAL+*+ADJ+NOUN,$ORDINAL|PROPN,$ORDINAL|PROPN+*+NOUN,$ORDINAL|[order],$ORDINAL|[order]+*+ADJ,$ORDINAL|[order]+*+ADJ+NOUN,$ORDINAL|[order]+*,$ORDINAL|[sauce]
s10,1,"They have coupons discount for first second and third time customers through their website .
",0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s46,1,"My other dining companions seemed pleased with their food ( one ordered a veal marsala that I did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious ) !
",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
s48,0,"I did end up finding the perfect doll.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s70,0,"Parking can be a issue and they no longer have the dog pen.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s37,0,We arrived at 6 pm and the employees told us the order was n't ready .,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
s106,0,Very dark and stylish and clearly they were aiming for something of a cross between a club feel date night and just a nice evening out that you would like to bring someone special.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s80,0,"Do not eat here, it is unsanitary.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s79,0,"It's such a modern restaurant but their dishes are authentic and super delicious
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s110,0,The server was cold and seemingly uninterested in making our experience pleasant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s73,0,"Our server actually seemed annoyed that he had to talk with us... Just another table and more faces... More orders... Move it along. 
",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
