id,labels,sentences,NUM,NUM+NOUN,NUM+*+NOUN,NUM+*+NOUN+ADV,NUM+*+NOUN+ADV|[discount],NUM+*+NOUN+[discount],NUM+*+NOUN+[discount]|ADV,NUM+*+ADV+PRON,NUM+*+ADV,NUM+*+$PERCENT,NUM+*+$PERCENT+NOUN,NUM+*+$PERCENT+NOUN|ADV,NUM+*+$PERCENT+ADV,NUM+*+$PERCENT+ADV|NOUN,NUM+*+$PERCENT+ADV|[discount],NUM+*+$PERCENT+[discount],NUM+*+$PERCENT+[discount]|ADV,NUM+$PERCENT,NUM|[price],NUM|[price]+*+ADV,NUM|[time],NUM|[time]+NOUN,NUM|[time]+*+NOUN,NUM|[time]+*+NOUN+ADV,NUM|[time]+*+ADV,NUM|[place],NUM|[place]+*+ADV,NUM|$ORDINAL,NUM|$ORDINAL+NOUN,NUM|$ORDINAL+*+NOUN,[price],[price]+VERB,[price]+VERB|ADV,[price]+ADV,[price]+ADV|VERB,[price]|NUM,[price]|NUM+*+ADV,[price]|[time],[price]|[time]+ADV,[price]|[time]+*+ADV,[price]|[place],[price]|[place]+*+VERB,[price]|[place]+*+VERB|ADV,[price]|[place]+*+ADV,[price]|[place]+*+ADV|VERB,[price]|[discount],[price]|$ORDINAL,[price]|$PERCENT,[price]|$PERCENT+ADV,[price]|$PERCENT+*+ADV,[time],[time]+NOUN,[time]+NOUN|ADV,[time]+ADV,[time]+ADV|NOUN,[time]+*+NOUN,[time]+*+NOUN+ADV,[time]+*+NOUN|PRON,[time]|PROPN,[time]|NUM,[time]|NUM+NOUN,[time]|NUM+*+NOUN,[time]|NUM+*+NOUN+ADV,[time]|NUM+*+ADV,[time]|[price],[time]|[price]+ADV,[time]|[price]+*+ADV,[time]|[place],[time]|[place]+*+ADV,[time]|[discount],[time]|[discount]+NOUN,[time]|[discount]+*+NOUN,[time]|$DATE,[time]|$DATE+NOUN,[time]|$DATE+*+NOUN,[time]|$DATE+*+ADV,[time]|$DATE+*+ADV|NOUN,[time]|$MONEY,[time]|$MONEY+*+ADV,[time]|$PERCENT,[time]|$PERCENT+NOUN,[time]|$PERCENT+NOUN|ADV,[time]|$PERCENT+ADV,[time]|$PERCENT+ADV|NOUN,[time]|$PERCENT+*+NOUN,[time]|$PERCENT+*+NOUN+ADV,[time]|$PERCENT+*+ADV,[time]|$PERCENT+*+ADV|NOUN,[place],[place]+AUX,[place]+*+AUX,[place]+*+AUX+ADV,[place]+*+AUX|VERB,[place]|PROPN,[place]|NUM,[place]|NUM+*+ADV,[place]|[price],[place]|[price]+*+VERB,[place]|[price]+*+VERB|ADV,[place]|[price]+*+ADV,[place]|[price]+*+ADV|VERB,[place]|[time],[place]|[time]+*+ADV,[place]|[discount],[place]|$ORDINAL,[place]|$PERCENT,[place]|$PERCENT+*+ADV,[discount],[discount]+NOUN,[discount]+*+NOUN,[discount]|[price],[discount]|[time],[discount]|[time]+NOUN,[discount]|[time]+*+NOUN,[discount]|[place],[discount]|$DATE,[discount]|$DATE+NOUN,[discount]|$DATE+*+NOUN,[discount]|$DATE+*+ADJ,[discount]|$MONEY,[discount]|$PERCENT,[discount]|$PERCENT+NOUN,[discount]|$PERCENT+*+NOUN,$PERCENT,$PERCENT+NOUN,$PERCENT+NOUN+ADV,$PERCENT+NOUN+ADV|[discount],$PERCENT+NOUN+[discount],$PERCENT+NOUN+[discount]|ADV,$PERCENT+ADV,$PERCENT+ADV|NOUN,$PERCENT+ADV|[discount],$PERCENT+*+NOUN,$PERCENT+*+NOUN+ADV,$PERCENT+*+NOUN+ADV|[discount],$PERCENT+*+NOUN+[discount],$PERCENT+*+NOUN+[discount]|ADV,$PERCENT+[discount],$PERCENT+[discount]|NOUN,$PERCENT+[discount]|ADV,$PERCENT|PROPN,$PERCENT|NUM,$PERCENT|NUM+NOUN,$PERCENT|NUM+*+NOUN,$PERCENT|NUM+*+NOUN+ADV,$PERCENT|NUM+*+NOUN+ADV|[discount],$PERCENT|NUM+*+NOUN+[discount],$PERCENT|NUM+*+NOUN+[discount]|ADV,$PERCENT|NUM+*+ADV,$PERCENT|[price],$PERCENT|[price]+ADV,$PERCENT|[price]+*+ADV,$PERCENT|[time],$PERCENT|[time]+NOUN,$PERCENT|[time]+NOUN|ADV,$PERCENT|[time]+ADV,$PERCENT|[time]+ADV|NOUN,$PERCENT|[time]+*+NOUN,$PERCENT|[time]+*+NOUN+ADV,$PERCENT|[time]+*+ADV,$PERCENT|[time]+*+ADV|NOUN,$PERCENT|[place],$PERCENT|[place]+*+ADV,$PERCENT|[discount],$PERCENT|[discount]+NOUN,$PERCENT|[discount]+*+NOUN,$PERCENT|$DATE,$PERCENT|$DATE+NOUN,$PERCENT|$DATE+NOUN+*+ADV,$PERCENT|$DATE+*+NOUN,$PERCENT|$DATE+*+ADV,$PERCENT|$DATE+*+ADV|NOUN,$PERCENT|$MONEY,$PERCENT|$MONEY+*+ADV,$PERCENT|$ORDINAL,$PERCENT|$ORDINAL+NOUN,$PERCENT|$ORDINAL+*+NOUN
s0,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2,1,They have some great offers going on now with even 70% off on some items.,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s6,1,50$ for buffet and mind you i only ate crab legs,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s18,1,"I love that for things you order regularly you can establish a standing order and get a 5 % discount ( milk , eggs , etc . ) .",1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1
s30,1,Only issue I have with this place is that they've raised their prices twice in the last year and now it's $2.10 for almost every plate which I think is very high for what you get,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
s19,1,"Prices vary so you have to shop around, but every once in a while you can find a really awesome deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s33,1,"You get a much much larger portion for the same price at SFU (the bowl is over-flowing).
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s32,1,"Hence the food is way too pricey for what's offered
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
