id,example,positive
1,"This particular location has a good check in deal.
",1
2,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",1
3,"They have some great offers going on now with even 70% off on some items.
",1
4,"Prices vary so you have to shop around, but every once in a while you can find a really awesome deal.
",1
5,"Too many other places to shop with better prices.
",1
6,"Prices were reasonable and mission accomplished!
",1
7,"disappointed in the fact they don't tell you the price
",1
8,"50$ for buffet and mind you i only ate crab legs
",1
9,"Unbelievable, it was me & my mother so it was a total of 100$ i could have gone to red lobster and ate better quality of food.
",1
10,"A little expensive but I'll definitely be back time and time again
",1
11,"When we were about to pay , the server handed us a bill and I reminded her that we were using the 1/2 off Scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... REALLY ? ! ?
",1
12,"Only downside : three entrees served simultaneously but fourth ( beet/ goat cheese ravioli ) was 2 - 3 minutes later which allowed my accompaniments ( delicious creamy polenta ) to cool off to much .
",1
13,"My other dining companions seemed pleased with their food ( one ordered a veal marsala that I did not try and the other - my favorite - ordered off the menu , actually , a request they were kind enough to accommodate - it was gnocchi caprese with pesto sauce instead of tomato sauce , and it was gooeyyummydelicious ) !
",1
14,"This place is only worth your time if you are looking for discount designer jeans .
",1
15,"They have coupons discount for first second and third time customers through their website .
",1
16,"Me : Then why did you tell me they were on discount ?
",1
17,"Adult tickets are $ 13.50 but they have military discount .
",1
18,"And they let me apply the discount to both of our tickets .
",1
19,"I 've been using this Discount Tire location for many years and for my last 3 vehicles .
",1
20,"I love that for things you order regularly you can establish a standing order and get a 5 % discount ( milk , eggs , etc . ) .
",1
21,"Prices vary so you have to shop around, but every once in a while you can find a really awesome deal.
",1
22,"Too many other places to shop with better prices.
",1
23,"I was looking for golf shoes, and found some that felt good and fit well but had no price.
",1
24,"While he checked on the price (which seemed to take much more effort than it should have), I found the shoes on-line for almost half the price.
",1
25,"Some of the items they sale here are a bit over priced
",1
26,"The shoe was on special price so we got a good deal and bought the shoe as well!
",1
27,"Prices vary so you have to shop around, but every once in a while you can find a really awesome deal.
",1
28,"Too many other places to shop with better prices.
",1
29,"I was looking for golf shoes, and found some that felt good and fit well but had no price.
",1
30,"but they are more expensive than what I've paid in the past and what another shop charges
",1
31,"I purchased a Gibeon Meteorite and black zirconium wedding band from Rings Unique for approximately $1200.
",1
32,"For the amenities and $ paid, it's small.
",1
33,"I bought a Living Social deal $30 for $60 awhile back.
",1
34,"Prices here are very reasonable!
",1
35,"Only issue I have with this place is that they've raised their prices twice in the last year and now it's $2.10 for almost every plate which I think is very high for what you get
",1
36,"For the money we paid (over 80 $ for 1 appetizer, 2 dinners, 2 drinks) we could not eat much
",1
37,"Hence the food is way too pricey for what's offered
",1
38,"You get a much much larger portion for the same price at SFU (the bowl is over-flowing).
",1
39,"Rodney and his crew gave us a great price and did the work so quick, literally, it was done before we knew it
",1
40,"needless to say whomever told me this , is a genius .
",0
41,"My parents told me a horror story about their friends ' wedding photographer , who insisted on always getting the shot he wanted .
",0
42,"Customer service told me "" nothing was rescheduled""
",0
43,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0
44,"We arrived at 6 pm and the employees told us the order was n't ready .
",0
45,"She then decided that the only thing to do was be rude to me.
",0
46,"the lines may be long at times
",0
47,"The store was clean and well organized
",0
48,"I still believe he did n't want to help to sit us together and used poor judgement setting up the tables
",0
49,"It took the one and only waitress at least 1 hour to serve our food.
",0
50,"My phone screen was replaced in 30 minutes and looks great.
",0
51,"All the instructors are friendly and helpful. 
",0
52,"The staff is always friendly and they make you feel comfortable even when you're getting uncomfortable work done.
",0
53,"Perfect little spot with healthy options and everything was so delicious.
",0
54,"Super quick food lines and attentive employees.
",0
55,"Staff is nice and would help to fulfill your requests.
",0
56,"I did end up finding the perfect doll.
",0
57,"I love their location in LA and was hoping to get the great service I usually get when I shop over there.
",0
58,"The server (Scottie) I think was trying to hard to be funny and came across as rude and careless in my opinion.
",0
59,"the interior is clean and has an almost perfect health rating
",0
60,"The manager and staff were friendly, which is always a nice bonus.
",0
61,"Today we waited over ten minutes behind one car in the drive thru for their single order
",0
62,"Fabulous service and awesome food
",0
63,"The wait staff is attentive and knowledge
",0
64,"I am not from the area, and parking is tough
",0
65,"The only problem we really had was the ladies at the front office were sorta rude and looked annoyed at us.
",0
66,"This man is unstable and incompetent as a manager
",0
67,"Environment is very open, clean and comfortable.
",0
68,"There's nothing striking about the environment or decor here, but do not leave without trying the dried, sautéed green beans
",0
69,"I sat outdoors and enjoyed the nice string lighting and music that was playing
",0
70,"The food quality is average and their service is slower than slow
",0
71,"There was a nice beer and cocktail list to choose from as well. 
",0
72,"Service was awful, bathrooms were filthy and Wellesley's stupid blue law about requiring every patron to order food while drinking is absurb.
",0
