id,example,label,positive
ss391,"Bubble teas are not so good; they are cheap, so they are probably just right for the price.",price,1
ss341,I ordered mango & taro moochi in coconut milk for $6,price,1
ss409,They need to chill on their prices.,price,1
ss123,For under $7 you get a custom made sub sandwich.,price,1
ss167,It was definitely not worth the money,price,1
ss255,$45 for three of us with large appetites.,price,1
ss154,Pricing reflects the demand -- it's not CHEAP indian food (Though not very expensive either).,price,1
ss476,"For how much it cost, it could have been better.",price,1
ss440,WAY OVER PRICED! $39 for the dish pictured.,price,1
ss480,The meal was delicious  and reasonably priced.,price,1
ss169,Very reasonably priced and came right on budget.,price,1
ss306,And it's terribly over priced for the quality.,price,1
ss139,Not worth the 40.00 for a basic cut.,price,1
ss301,"I assumed because they are located next to Intel,  they figured they could charge a ridiculous price for a style.",price,1
ss413,"Dear Hyatt Place, if you are going to charge $75 for a pet fee, then tell me that my pet isn't allowed through the front door and lobby",price,1
ss345,The guy told me if I buy a $5 sub then I get less vegetables than an $8 sub.,price,1
ss201,ALL of the Mexican food was HALF PRICE.,price,1
ss469,"Even though the stuff is probably overpriced, you can't help but just want to buy up the whole store and bring it home with you.",price,1
ss251,Prices are not bad and they have a good amount of seats (and take reservations).,price,1
ss170,Only complaint is they're expensive ($6.25 for 8) and the sizing is not consistent.,price,1
ss141,I really enjoyed (non-sarcastically) having an overpriced drink here because it reminded me of New York.,price,1
ss187,Nail Time lowered their prices,price,1
ss132,Rate increases totaling 36% over 3 months resulted in my canceling my account here.,price,1
ss403,"He ordered the tires, gave me a great price and it was done that same day.",price,1
ss132,Paid over $80 for a king crab leg with an upgraded side and two beers.,price,1
ss257,Extremely quick response to an appointment request and was able to groom our dog the very next day.,service,0
ss387,Appointment was quick and the staff was incredibly friendly.,service,0
ss242,It was a little last minute and they were extremely accommodating.,service,0
ss267,"Booking was easy, the staff was friendly, and they communicated very well.",service,0
ss220,She even stayed with me after closing to make sure I got everything I needed,service,0
ss171,"The staff here were very pleasant even through the cancellation process, and seemed to realize that someone's ending use of a unit didn't have to mean permanent loss of a customer.",service,0
ss341,Jimmy really cares about his customers and his craft.,service,0
ss406,The servers were a bit confused,service,0
ss471,He was also slow on refilling our waters throughout the meal.,service,0
ss321,Friendly staff.,service,0
ss320,Management is drippy,service,0
ss350,"The food was delicious, and the cake was to die for.",other,0
ss447,The BBQ is wonderful and they have maybe the best collard greens I have had in the US.,other,0
ss353,Unfortunately several times its been undercooked where literally another 90sec would've made it awesome,other,0
ss325,First time here and this is a welcome addition to this part of town.,other,0
ss492,"They do not accept reservations, but it is worth the wait.",other,0
ss173,Good food with great variety.,other,0
ss395,My manicure was sloppy and uneven.,other,0
ss443,The seafood was not fresh.,other,0
ss342,They were clearly not equipped for a group our size,other,0
ss240,"We got here just before the peak lunch crowd on a Saturday morning, and still had to wait 30 minutes, which gave us enough time to find parking down the street.",other,0
ss138,Sushi menu was pretty standard and the flavor was nothing special.,other,0
ss331,Always a good time! The food was on point as always.. They can cook a Steak like no other! Sometimes better than the keg.,other,0
ss120,The staff and service was really good. I highly recommend this place.,other,0
