id,labels,sentences,NUM,NUM+NOUN,NUM+*+NOUN,NUM+*+$PERCENT,NUM+*+$PERCENT+NOUN,NUM+$PERCENT,NUM+$PERCENT+NOUN,NUM+$PERCENT+*+NOUN,NUM|[pay],NUM|[food],NUM|[food]+NOUN,NUM|[food]+*+NOUN,NUM|[expensive],[pay],[pay]+*+PRON+VERB,[pay]+*+PRON+VERB|AUX,[pay]+*+PRON+VERB|AUX+ADJ,[pay]+*+PRON,[pay]+*+PRON+AUX|VERB,[pay]+*+PRON+AUX|VERB+ADJ,[pay]+*+PRON+AUX,[pay]|NUM,[pay]|[food],[pay]|[order],[pay]|[order]+*+PRON,[pay]|[order]+*+PRON+AUX,[pay]|[expensive],[pay]|[expensive]+*+PRON,[pay]|[expensive]+*+PRON+AUX,[pay]|$PERCENT,[food],[food]+NOUN,[food]+NOUN|AUX,[food]+AUX,[food]+AUX|NOUN,[food]+*+NOUN,[food]+*+NOUN|ADV,[food]+*+NOUN|AUX,[food]+*+ADV,[food]+*+ADV|NOUN,[food]+*+AUX,[food]+*+AUX|NOUN,[food]|NUM,[food]|NUM+NOUN,[food]|NUM+*+NOUN,[food]|[pay],[food]|[order],[food]|[order]+*+ADV,[food]|[expensive],[food]|$PERCENT,[food]|$PERCENT+NOUN,[food]|$PERCENT+*+NOUN,[order],[order]+ADV+PRON,[order]+ADV+PRON+AUX+VERB,[order]+ADV+PRON+AUX,[order]+ADV+PRON+AUX+*+VERB,[order]+ADV+PRON+*+VERB,[order]+ADV+PRON+*+AUX+VERB,[order]+ADV+PRON+*+AUX,[order]+ADV,[order]+ADV+*+PRON,[order]+ADV+*+PRON+AUX+VERB,[order]+ADV+*+PRON+AUX,[order]+ADV+*+AUX,[order]+ADV+*+AUX+VERB,[order]+*+PRON,[order]+*+PRON+AUX+VERB,[order]+*+PRON+AUX,[order]+*+VERB,[order]+*+ADV+PRON,[order]+*+ADV+PRON+AUX+VERB,[order]+*+ADV+PRON+AUX,[order]+*+ADV,[order]|[pay],[order]|[pay]+*+PRON,[order]|[pay]+*+PRON+AUX,[order]|[food],[order]|[food]+*+ADV,[order]|[expensive],[order]|[expensive]+*+PRON,[order]|[expensive]+*+PRON+AUX+VERB,[order]|[expensive]+*+PRON+AUX,[expensive],[expensive]+*+PRON,[expensive]+*+PRON+AUX+VERB,[expensive]+*+PRON+AUX+VERB|ADV,[expensive]+*+PRON+AUX,[expensive]+*+PRON+AUX+ADV|VERB,[expensive]+*+PRON+AUX+ADV,[expensive]+*+PRON+AUX+ADV|[pay],[expensive]+*+PRON+AUX+[pay],[expensive]+*+PRON+AUX+[pay]|ADV,[expensive]|NUM,[expensive]|[pay],[expensive]|[pay]+*+PRON,[expensive]|[pay]+*+PRON+AUX,[expensive]|[food],[expensive]|[order],[expensive]|[order]+*+PRON,[expensive]|[order]+*+PRON+AUX+VERB,[expensive]|[order]+*+PRON+AUX,[expensive]|$PERCENT,$PERCENT,$PERCENT+NOUN,$PERCENT+*+NOUN,$PERCENT|[pay],$PERCENT|[food],$PERCENT|[food]+NOUN,$PERCENT|[food]+*+NOUN,$PERCENT|[expensive]
32,1,"Hence the food is way too pricey for what's offered
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
18,1,"I love that for things you order regularly you can establish a standing order and get a 5 % discount ( milk , eggs , etc . ) .",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
84,1,"For the price I paid, I get more with a vist to another fast food competitor.",0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
25,1,"but they are more expensive than what I've paid in the past and what another shop charges
",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1
27,1,"For the amenities and $ paid, it's small.
",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,0,"disappointed in the fact they don't tell you the price
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,"Super quick food lines and attentive employees.
",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
40,0,"I still believe he did n't want to help to sit us together and used poor judgement setting up the tables
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,"The only problem we really had was the ladies at the front office were sorta rude and looked annoyed at us.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
