id,labels,sentences,NUM,NUM+*+VERB,NUM+*+NOUN,NUM+*+[month],NUM+*+[result],NUM+*+$DATE,NUM+*+$PERCENT,NUM|[coupon],NUM|[coupon]+*+NOUN,NUM|[discount],NUM|[second],NUM|[time],NUM|[time]+*+NOUN,NUM|[website],NUM|[particular],NUM|[particular]+*+VERB,NUM|[particular]+*+NOUN,NUM|[location],NUM|[location]+*+VERB,NUM|[good],NUM|[good]+*+NOUN,NUM|[check],NUM|[check]+*+NOUN,NUM|[deal],NUM|$ORDINAL,NUM|$ORDINAL+*+NOUN,[rate],[rate]+*+VERB,[rate]+*+NOUN,[rate]+*+[increase],[rate]+*+[total],[rate]|[coupon],[rate]|[coupon]+*+NOUN,[rate]|[discount],[rate]|[second],[rate]|[time],[rate]|[time]+*+NOUN,[rate]|[website],[rate]|[particular],[rate]|[particular]+*+VERB,[rate]|[particular]+*+NOUN,[rate]|[location],[rate]|[location]+*+VERB,[rate]|[good],[rate]|[good]+*+NOUN,[rate]|[check],[rate]|[check]+*+NOUN,[rate]|[deal],[rate]|$ORDINAL,[rate]|$ORDINAL+*+NOUN,[increase],[increase]+*+VERB,[increase]+*+NUM,[increase]+*+[total],[increase]+*+[36],[increase]+*+$PERCENT,[increase]|[coupon],[increase]|[discount],[increase]|[second],[increase]|[time],[increase]|[website],[increase]|[particular],[increase]|[particular]+*+VERB,[increase]|[location],[increase]|[location]+*+VERB,[increase]|[good],[increase]|[check],[increase]|[deal],[increase]|$ORDINAL,[total],[total]+*+NOUN,[total]+*+NUM,[total]+*+[36],[total]+*+$PERCENT,[total]|[coupon],[total]|[coupon]+*+NOUN,[total]|[discount],[total]|[second],[total]|[time],[total]|[time]+*+NOUN,[total]|[website],[total]|[particular],[total]|[particular]+*+NOUN,[total]|[location],[total]|[good],[total]|[good]+*+NOUN,[total]|[check],[total]|[check]+*+NOUN,[total]|[deal],[total]|$ORDINAL,[total]|$ORDINAL+*+NOUN,[36],[36]+*+NOUN,[36]+*+$PERCENT,[36]|[coupon],[36]|[coupon]+*+NOUN,[36]|[discount],[36]|[second],[36]|[time],[36]|[time]+*+NOUN,[36]|[website],[36]|[particular],[36]|[particular]+*+NOUN,[36]|[location],[36]|[good],[36]|[good]+*+NOUN,[36]|[check],[36]|[check]+*+NOUN,[36]|[deal],[36]|$ORDINAL,[36]|$ORDINAL+*+NOUN,[month],[month]+*+VERB,[month]+*+[result],[month]|[coupon],[month]|[discount],[month]|[second],[month]|[time],[month]|[website],[month]|[particular],[month]|[particular]+*+VERB,[month]|[location],[month]|[location]+*+VERB,[month]|[good],[month]|[check],[month]|[deal],[month]|$ORDINAL,[result],[result]+*+PRON,[result]|[coupon],[result]|[discount],[result]|[second],[result]|[time],[result]|[website],[result]|[particular],[result]|[location],[result]|[good],[result]|[check],[result]|[deal],[result]|$ORDINAL,[cancel],[cancel]+*+PRON,[cancel]+*+NOUN,[cancel]+*+[account],[cancel]|[coupon],[cancel]|[coupon]+*+NOUN,[cancel]|[discount],[cancel]|[second],[cancel]|[time],[cancel]|[time]+*+NOUN,[cancel]|[website],[cancel]|[particular],[cancel]|[particular]+*+NOUN,[cancel]|[location],[cancel]|[good],[cancel]|[good]+*+NOUN,[cancel]|[check],[cancel]|[check]+*+NOUN,[cancel]|[deal],[cancel]|$ORDINAL,[cancel]|$ORDINAL+*+NOUN,[account],[account]+*+ADV,[account]|[coupon],[account]|[discount],[account]|[second],[account]|[time],[account]|[website],[account]|[particular],[account]|[location],[account]|[good],[account]|[check],[account]|[deal],[account]|$ORDINAL,[coupon],[coupon]+*+NOUN,[coupon]+*+[discount],[coupon]|[particular],[coupon]|[particular]+*+NOUN,[coupon]|[location],[coupon]|[good],[coupon]|[good]+*+NOUN,[coupon]|[check],[coupon]|[check]+*+NOUN,[coupon]|[deal],[coupon]|$DATE,[coupon]|$DATE+*+NOUN,[coupon]|$PERCENT,[coupon]|$PERCENT+*+NOUN,[discount],[discount]+*+ADJ,[discount]|[particular],[discount]|[location],[discount]|[good],[discount]|[check],[discount]|[deal],[discount]|$DATE,[discount]|$PERCENT,[second],[second]+*+ADJ,[second]+*+$ORDINAL,[second]|[particular],[second]|[location],[second]|[good],[second]|[check],[second]|[deal],[second]|$DATE,[second]|$PERCENT,[time],[time]|[particular],[time]|[particular]+*+NOUN,[time]|[location],[time]|[good],[time]|[good]+*+NOUN,[time]|[check],[time]|[check]+*+NOUN,[time]|[deal],[time]|$DATE,[time]|$PERCENT,[time]|$PERCENT+*+NOUN,[website],[website]|[particular],[website]|[location],[website]|[good],[website]|[check],[website]|[deal],[website]|$DATE,[website]|$PERCENT,[particular],[particular]+*+VERB,[particular]+*+NOUN,[particular]+*+[location],[particular]|$DATE,[particular]|$DATE+*+VERB,[particular]|$DATE+*+NOUN,[particular]|$ORDINAL,[particular]|$ORDINAL+*+NOUN,[particular]|$PERCENT,[particular]|$PERCENT+*+NOUN,[location],[location]+*+VERB,[location]|$DATE,[location]|$DATE+*+VERB,[location]|$ORDINAL,[location]|$PERCENT,[good],[good]+*+NOUN,[good]+*+[check],[good]|$DATE,[good]|$DATE+*+NOUN,[good]|$ORDINAL,[good]|$ORDINAL+*+NOUN,[good]|$PERCENT,[good]|$PERCENT+*+NOUN,[check],[check]+*+NOUN,[check]+*+[deal],[check]|$DATE,[check]|$DATE+*+NOUN,[check]|$ORDINAL,[check]|$ORDINAL+*+NOUN,[check]|$PERCENT,[check]|$PERCENT+*+NOUN,[deal],[deal]|$DATE,[deal]|$ORDINAL,[deal]|$PERCENT,$DATE,$DATE|$ORDINAL,$DATE|$ORDINAL+*+NOUN,$ORDINAL,$ORDINAL+*+NOUN,$ORDINAL+*+ADJ,$ORDINAL+*+[time],$ORDINAL+*+[customer],$ORDINAL|$PERCENT,$ORDINAL|$PERCENT+*+NOUN,$PERCENT,$PERCENT+*+NOUN,$PERCENT+*+NUM,$PERCENT+*+$DATE
ss154,1,Rate increases totaling 36 % over 3 months resulted in my canceling my account here . ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
ss166,1,They have coupons discount for first second and third time customers through their website ,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
ss139,1,This particular location has a good check in deal . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss59,0,No appointment on a Saturday afternoon and they managed to get me in and out in an hour . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ss129,0,"Rodney and his crew gave us a great price and did the work so quick , literally , it was done before we knew it ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss6,0,"Delicious food , friendly people , quick . ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss143,0,Reception hung up on me multiple times and would not listen . ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss50,0,Jimmy really cares about his customers and his craft . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss183,0,"Great customer service , great food that is fresh and cooked to order . ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss179,0,"The staff here were very pleasant even through the cancellation process , and seemed to realize that someone 's ending use of a unit did n't have to mean permanent loss of a customer . ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
